,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,E. Brand - C. Martin - D. Carroll - M. Scott - D. Schroder,ATL,1,96.7,300.0,100.0,100.0,100,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2,K. Korver - L. Williams - D. Carroll - M. Scott - P. Antic,ATL,1,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,200.0,0.0,-300.0
3,K. Korver - L. Williams - P. Millsap - S. Mack - M. Muscala,ATL,2,83.3,150.0,50.0,150.0,33.3,50.0,50.0,100,0.0,0.0,0.0,50.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0
4,E. Brand - C. Martin - J. Teague - D. Carroll - M. Scott,ATL,1,75.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,200.0,50.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-100.0
5,L. Williams - J. Teague - G. Ayon - M. Scott - D. Schroder,ATL,1,73.3,100.0,50.0,50.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,50.0,50.0,0.0,0.0,0.0,100.0,0.0,100.0
6,D. Carroll - S. Mack - M. Scott - D. Schroder - M. Muscala,ATL,1,67.8,0.0,0.0,166.7,0.0,0.0,33.3,0.0,0.0,0.0,0.0,66.7,33.3,100.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,-66.7
7,E. Brand - A. Horford - J. Teague - D. Carroll - S. Mack,ATL,1,65.0,66.7,33.3,100.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,66.7,0.0,0.0,0.0,0.0,0.0,33.3,0.0,-66.7
8,E. Brand - S. Mack - M. Scott - D. Schroder - P. Antic,ATL,1,65.0,100.0,33.3,133.3,25.0,33.3,100.0,33.3,0.0,0.0,0.0,33.3,33.3,66.7,0.0,33.3,0.0,66.7,33.3,33.3,0.0,-33.3
9,L. Williams - P. Millsap - S. Mack - M. Scott - P. Antic,ATL,1,64.8,300.0,100.0,100.0,100,100.0,100.0,100,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,300.0,0.0,0.0,0.0,300.0
10,A. Horford - C. Martin - D. Carroll - D. Schroder - P. Antic,ATL,1,64.1,100.0,44.4,100.0,44.4,0.0,22.2,0.0,11.1,22.2,50.0,22.2,33.3,55.6,33.3,11.1,0.0,22.2,0.0,55.6,55.6,-66.7
