,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,R. Foye - J. Hamilton - A. Bennett - J. Harris - Y. Ferrell,BKN,1,110.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-400.0
2,R. Foye - B. Bogdanovic - A. Bennett - R. Hollis-Jefferson - C. LeVert,BKN,1,93.3,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,-500.0
3,R. Foye - B. Lopez - T. Booker - B. Bogdanovic - C. LeVert,BKN,1,86.7,0.0,0.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-200.0
4,R. Foye - T. Booker - B. Bogdanovic - J. Hamilton - J. Harris,BKN,2,84.2,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,200.0
5,Q. Acy - A. Goodwin - K. McDaniels - S. Dinwiddie - R. Hollis-Jefferson,BKN,1,80.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
6,B. Lopez - J. Lin - J. Hamilton - S. Dinwiddie - C. LeVert,BKN,1,80.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,T. Booker - J. Lin - K. McDaniels - S. Dinwiddie - R. Hollis-Jefferson,BKN,1,78.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,200.0,0.0,-200.0
8,R. Foye - A. Nicholson - Q. Acy - A. Goodwin - I. Whitehead,BKN,1,76.7,0.0,0.0,66.7,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,33.3,33.3,0.0,33.3,0.0,0.0,0.0,100.0,33.3,-266.7
9,R. Foye - Q. Acy - J. Hamilton - K. McDaniels - S. Dinwiddie,BKN,1,75.8,250.0,50.0,150.0,33.3,50.0,100.0,50.0,100.0,100.0,100,100.0,50.0,150.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0
10,L. Scola - B. Bogdanovic - S. Dinwiddie - R. Hollis-Jefferson - I. Whitehead,BKN,1,75.0,250.0,100.0,100.0,100,50.0,50.0,100,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,100.0
11,B. Lopez - J. Harris - R. Hollis-Jefferson - C. LeVert - I. Whitehead,BKN,1,71.7,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,-200.0
12,R. Foye - B. Lopez - J. Hamilton - J. Harris - I. Whitehead,BKN,1,66.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0
13,T. Booker - J. Lin - J. Hamilton - S. Dinwiddie - I. Whitehead,BKN,1,66.7,166.7,66.7,100.0,66.7,33.3,66.7,50.0,0.0,0.0,0.0,0.0,66.7,66.7,66.7,0.0,0.0,0.0,0.0,33.3,0.0,-66.7
14,B. Lopez - Q. Acy - S. Dinwiddie - J. Harris - S. Kilpatrick,BKN,1,65.8,0.0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-150.0
15,T. Booker - B. Bogdanovic - A. Bennett - C. LeVert - I. Whitehead,BKN,1,65.8,100.0,50.0,150.0,33.3,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,B. Lopez - B. Bogdanovic - Q. Acy - S. Kilpatrick - I. Whitehead,BKN,1,65.0,150.0,75.0,125.0,60.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,50.0,25.0,0.0,25.0,25.0,50.0,25.0,50.0
17,L. Scola - J. Lin - B. Bogdanovic - R. Hollis-Jefferson - C. LeVert,BKN,1,64.2,200.0,50.0,100.0,50.0,0.0,0.0,0.0,100.0,100.0,100,50.0,50.0,100.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,100.0
18,R. Foye - T. Booker - J. Lin - A. Nicholson - I. Whitehead,BKN,1,63.9,66.7,33.3,133.3,25.0,0.0,66.7,0.0,0.0,0.0,0.0,33.3,66.7,100.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,66.7
19,B. Lopez - J. Hamilton - S. Dinwiddie - J. Harris - S. Kilpatrick,BKN,2,62.5,100.0,50.0,50.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0
20,B. Lopez - A. Bennett - J. Harris - S. Kilpatrick - I. Whitehead,BKN,1,61.7,300.0,100.0,200.0,50.0,0.0,0.0,0.0,100.0,100.0,100,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
21,L. Scola - J. Hamilton - S. Dinwiddie - S. Kilpatrick - I. Whitehead,BKN,1,61.7,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
22,T. Booker - J. Harris - S. Kilpatrick - R. Hollis-Jefferson - I. Whitehead,BKN,2,61.6,66.7,33.3,100.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,33.3,33.3,0.0,0.0,0.0,0.0,33.3,33.3,-100.0
23,A. Goodwin - K. McDaniels - S. Dinwiddie - R. Hollis-Jefferson - C. LeVert,BKN,1,61.3,100.0,50.0,125.0,40.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,100.0,0.0,25.0,0.0,0.0,0.0,50.0,0.0,0.0
24,B. Lopez - T. Booker - B. Bogdanovic - S. Kilpatrick - Y. Ferrell,BKN,1,60.0,0.0,0.0,200.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-200.0
25,B. Lopez - K. McDaniels - S. Dinwiddie - R. Hollis-Jefferson - I. Whitehead,BKN,5,59.6,75.0,37.5,87.5,42.9,0.0,12.5,0.0,0.0,0.0,0.0,37.5,62.5,100.0,25.0,62.5,12.5,12.5,0.0,37.5,12.5,-12.5
26,R. Foye - B. Bogdanovic - Q. Acy - J. Hamilton - S. Dinwiddie,BKN,1,59.3,20.0,0.0,80.0,0.0,0.0,0.0,0.0,20.0,40.0,50.0,0.0,20.0,20.0,0.0,20.0,0.0,0.0,20.0,20.0,40.0,-20.0
27,L. Scola - R. Foye - B. Lopez - J. Harris - S. Kilpatrick,BKN,1,59.2,150.0,50.0,100.0,50.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-50.0
28,L. Scola - B. Bogdanovic - A. Bennett - S. Kilpatrick - R. Hollis-Jefferson,BKN,1,58.3,100.0,50.0,50.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,50.0,50.0,0.0
29,L. Scola - B. Lopez - J. Lin - J. Harris - R. Hollis-Jefferson,BKN,1,58.3,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-100.0
30,R. Foye - B. Lopez - Q. Acy - S. Dinwiddie - I. Whitehead,BKN,2,58.3,60.0,20.0,60.0,33.3,0.0,20.0,0.0,20.0,40.0,50.0,0.0,0.0,0.0,20.0,20.0,20.0,0.0,20.0,40.0,20.0,-60.0
31,B. Lopez - T. Booker - J. Lin - K. McDaniels - I. Whitehead,BKN,1,58.1,100.0,42.9,114.3,37.5,14.3,28.6,50.0,0.0,0.0,0.0,0.0,42.9,42.9,14.3,0.0,0.0,14.3,0.0,57.1,57.1,42.9
32,A. Bennett - J. Harris - R. Hollis-Jefferson - C. McCullough - I. Whitehead,BKN,1,57.9,57.1,28.6,114.3,25.0,0.0,28.6,0.0,0.0,0.0,0.0,14.3,28.6,42.9,28.6,0.0,0.0,0.0,14.3,0.0,0.0,-142.9
33,R. Foye - T. Booker - B. Bogdanovic - A. Bennett - S. Kilpatrick,BKN,1,57.3,160.0,60.0,100.0,60.0,40.0,80.0,50.0,0.0,0.0,0.0,0.0,20.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.0
34,R. Foye - Q. Acy - A. Goodwin - K. McDaniels - R. Hollis-Jefferson,BKN,1,57.2,83.3,33.3,66.7,50.0,0.0,33.3,0.0,16.7,33.3,50.0,0.0,50.0,50.0,0.0,16.7,0.0,0.0,0.0,0.0,33.3,-16.7
35,R. Foye - T. Booker - A. Nicholson - S. Dinwiddie - I. Whitehead,BKN,1,57.2,166.7,66.7,111.1,60.0,22.2,55.6,40.0,11.1,22.2,50.0,11.1,33.3,44.4,44.4,0.0,11.1,0.0,0.0,11.1,11.1,0.0
36,L. Scola - R. Foye - A. Bennett - S. Dinwiddie - J. Harris,BKN,1,56.9,100.0,33.3,66.7,50.0,16.7,33.3,50.0,16.7,16.7,100,0.0,50.0,50.0,33.3,33.3,0.0,16.7,0.0,16.7,0.0,0.0
37,B. Bogdanovic - J. Hamilton - A. Bennett - R. Hollis-Jefferson - Y. Ferrell,BKN,1,56.7,66.7,33.3,33.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,33.3,0.0,0.0,0.0,0.0,133.3,-66.7
38,B. Bogdanovic - J. Hamilton - S. Dinwiddie - R. Hollis-Jefferson - I. Whitehead,BKN,1,56.7,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,200.0
39,B. Lopez - B. Bogdanovic - A. Bennett - S. Dinwiddie - J. Harris,BKN,1,56.7,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
40,L. Scola - J. Lin - J. Hamilton - S. Kilpatrick - R. Hollis-Jefferson,BKN,1,56.7,150.0,50.0,100.0,50.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0
