,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,G. Green - A. Bradley - I. Thomas - J. Mickey - D. Jackson,BOS,1,101.7,150.0,50.0,100.0,50.0,50.0,50.0,100,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,150.0,0.0,-150.0
2,A. Johnson - J. Jerebko - J. Crowder - T. Rozier - J. Brown,BOS,1,89.2,100.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
3,G. Green - A. Horford - J. Jerebko - T. Rozier - J. Brown,BOS,1,87.5,0.0,0.0,150.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,100.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,-100.0
4,G. Green - A. Johnson - A. Horford - M. Smart - J. Brown,BOS,1,76.7,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,200.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
5,K. Olynyk - J. Young - M. Smart - D. Jackson - J. Brown,BOS,1,76.7,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
6,A. Johnson - A. Bradley - J. Crowder - K. Olynyk - T. Rozier,BOS,2,76.1,66.7,33.3,100.0,33.3,0.0,66.7,0.0,0.0,0.0,0.0,0.0,66.7,66.7,0.0,0.0,33.3,0.0,0.0,33.3,0.0,-33.3
7,A. Johnson - J. Young - M. Smart - T. Rozier - J. Brown,BOS,1,68.3,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-400.0
8,A. Bradley - M. Smart - J. Mickey - T. Rozier - J. Brown,BOS,2,66.0,100.0,40.0,100.0,40.0,20.0,60.0,33.3,0.0,0.0,0.0,0.0,80.0,80.0,40.0,0.0,0.0,0.0,0.0,60.0,0.0,80.0
9,G. Green - T. Zeller - J. Mickey - T. Rozier - J. Brown,BOS,1,65.6,100.0,33.3,33.3,100,0.0,0.0,0.0,33.3,66.7,50.0,0.0,0.0,0.0,33.3,33.3,0.0,0.0,0.0,0.0,33.3,-100.0
10,I. Thomas - J. Crowder - K. Olynyk - M. Smart - J. Mickey,BOS,2,65.4,75.0,0.0,50.0,0.0,0.0,25.0,0.0,75.0,100.0,75.0,0.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,50.0,25.0
11,A. Horford - A. Bradley - T. Zeller - M. Smart - J. Brown,BOS,1,65.0,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.0
12,G. Green - A. Horford - I. Thomas - J. Crowder - J. Mickey,BOS,1,65.0,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
13,G. Green - A. Bradley - T. Zeller - T. Rozier - J. Brown,BOS,1,64.6,0.0,0.0,100.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,25.0,50.0,75.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,-125.0
14,A. Horford - J. Young - M. Smart - T. Rozier - J. Brown,BOS,1,64.4,166.7,66.7,100.0,66.7,33.3,33.3,100,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,66.7,0.0,-66.7
15,G. Green - A. Johnson - J. Jerebko - I. Thomas - M. Smart,BOS,3,64.3,214.3,85.7,114.3,75.0,42.9,57.1,75.0,0.0,0.0,0.0,14.3,42.9,57.1,42.9,0.0,0.0,0.0,14.3,42.9,28.6,57.1
16,G. Green - J. Jerebko - A. Bradley - I. Thomas - T. Zeller,BOS,1,64.2,0.0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-150.0
17,A. Horford - I. Thomas - T. Zeller - M. Smart - J. Brown,BOS,1,63.3,300.0,100.0,100.0,100,0.0,0.0,0.0,100.0,100.0,100,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,300.0
18,G. Green - J. Jerebko - A. Bradley - T. Zeller - T. Rozier,BOS,2,63.3,180.0,80.0,120.0,66.7,20.0,40.0,50.0,0.0,20.0,0.0,20.0,20.0,40.0,60.0,0.0,0.0,0.0,0.0,40.0,40.0,-20.0
19,A. Johnson - A. Horford - M. Smart - T. Rozier - J. Brown,BOS,2,63.0,100.0,40.0,120.0,33.3,20.0,60.0,33.3,0.0,40.0,0.0,40.0,20.0,60.0,40.0,20.0,0.0,20.0,20.0,20.0,40.0,0.0
20,G. Green - A. Bradley - M. Smart - J. Mickey - J. Brown,BOS,1,62.9,175.0,75.0,125.0,60.0,25.0,50.0,50.0,0.0,0.0,0.0,25.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,25.0,0.0,-75.0
