,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,B. Biyombo - T. Rozier - C. Martin - P. Washington - J. McDaniels,CHA,1,85.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,-400.0
2,G. Hayward - B. Wanamaker - C. Zeller - M. Monk - M. Bridges,CHA,1,76.7,166.7,66.7,133.3,50.0,33.3,33.3,100,0.0,0.0,0.0,33.3,33.3,66.7,0.0,0.0,0.0,0.0,0.0,33.3,33.3,0.0
3,B. Wanamaker - C. Zeller - M. Bridges - J. McDaniels - N. Darling,CHA,1,74.2,150.0,0.0,100.0,0.0,0.0,0.0,0.0,150.0,150.0,100,50.0,50.0,100.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,50.0
4,G. Hayward - C. Zeller - D. Graham - C. Martin - L. Ball,CHA,1,74.2,150.0,50.0,100.0,50.0,0.0,50.0,0.0,50.0,50.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,-50.0
5,B. Biyombo - M. Monk - M. Bridges - D. Graham - C. Martin,CHA,1,73.3,100.0,0.0,50.0,0.0,0.0,50.0,0.0,100.0,100.0,100,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0
6,M. Bridges - C. Martin - J. McDaniels - V. Carey Jr. - N. Richards,CHA,1,67.5,150.0,50.0,50.0,100,50.0,50.0,100,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,150.0
7,B. Wanamaker - C. Zeller - T. Rozier - M. Bridges - J. McDaniels,CHA,2,66.7,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,-200.0
8,M. Bridges - D. Graham - P. Washington - J. McDaniels - L. Ball,CHA,1,66.7,100.0,50.0,50.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,100.0,0.0,-200.0
9,T. Rozier - C. Martin - C. Martin - J. McDaniels - N. Richards,CHA,1,66.7,0.0,0.0,200.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
10,G. Hayward - B. Wanamaker - C. Zeller - D. Graham - C. Martin,CHA,1,65.8,50.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,-150.0
