,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,R. Lopez - Z. LaVine - B. Portis - K. Dunn - R. Arcidiacono,CHI,1,93.3,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,200.0
2,R. Lopez - Z. LaVine - J. Parker - K. Dunn - A. Blakeney,CHI,1,85.0,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
3,J. Parker - T. Ulis - A. Blakeney - W. Carter Jr. - C. Hutchison,CHI,1,82.8,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,R. Lopez - K. Dunn - R. Arcidiacono - S. Harrison - C. Hutchison,CHI,1,80.0,150.0,50.0,100.0,50.0,50.0,50.0,100,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,-50.0
5,J. Parker - K. Dunn - S. Harrison - W. Carter Jr. - C. Hutchison,CHI,1,78.3,200.0,100.0,200.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
6,Z. LaVine - J. Parker - S. Harrison - A. Blakeney - W. Carter Jr.,CHI,1,78.3,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-200.0
7,J. Sampson - C. Felicio - R. Arcidiacono - S. Harrison - R. Alkins,CHI,1,72.8,66.7,33.3,66.7,50.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,33.3,0.0,0.0,0.0,33.3,0.0,-233.3
8,C. Payne - B. Portis - C. Felicio - K. Dunn - C. Hutchison,CHI,1,71.1,100.0,33.3,100.0,33.3,33.3,66.7,50.0,0.0,0.0,0.0,33.3,0.0,33.3,33.3,33.3,0.0,0.0,0.0,0.0,33.3,33.3
9,R. Lopez - B. Portis - K. Dunn - S. Harrison - C. Hutchison,CHI,2,70.6,0.0,0.0,133.3,0.0,0.0,33.3,0.0,0.0,0.0,0.0,33.3,0.0,33.3,0.0,0.0,0.0,0.0,0.0,33.3,0.0,-333.3
10,R. Lopez - K. Dunn - R. Arcidiacono - A. Blakeney - C. Hutchison,CHI,1,68.3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-400.0
11,R. Lopez - Z. LaVine - B. Portis - W. Selden - R. Arcidiacono,CHI,1,68.3,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-400.0
12,J. Holiday - S. Harrison - A. Blakeney - W. Carter Jr. - C. Hutchison,CHI,1,65.8,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0
13,Z. LaVine - C. Felicio - W. Selden - S. Harrison - A. Blakeney,CHI,1,65.8,0.0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-250.0
14,J. Holiday - Z. LaVine - S. Harrison - W. Carter Jr. - C. Hutchison,CHI,1,65.0,100.0,50.0,50.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,50.0,100.0
15,K. Dunn - W. Selden - T. Luwawu-Cabarrot - L. Markkanen - A. Blakeney,CHI,1,65.0,250.0,100.0,150.0,66.7,50.0,100.0,50.0,0.0,0.0,0.0,50.0,50.0,100.0,100.0,0.0,0.0,0.0,0.0,50.0,0.0,150.0
16,R. Lopez - Z. LaVine - B. Portis - R. Arcidiacono - S. Harrison,CHI,1,65.0,125.0,50.0,125.0,40.0,25.0,50.0,50.0,0.0,0.0,0.0,25.0,50.0,75.0,25.0,0.0,0.0,0.0,0.0,50.0,0.0,25.0
17,Z. LaVine - J. Parker - B. Portis - K. Dunn - R. Arcidiacono,CHI,1,65.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,-250.0
18,B. Portis - W. Selden - R. Arcidiacono - L. Markkanen - A. Blakeney,CHI,1,63.3,250.0,100.0,100.0,100,50.0,50.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0,0.0,0.0,100.0,0.0,50.0
19,R. Lopez - O. Porter Jr. - Z. LaVine - T. Luwawu-Cabarrot - R. Arcidiacono,CHI,2,63.3,100.0,0.0,150.0,0.0,0.0,0.0,0.0,100.0,100.0,100,100.0,50.0,150.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,-150.0
20,Z. LaVine - C. Payne - A. Blakeney - W. Carter Jr. - C. Hutchison,CHI,1,63.3,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
21,R. Lopez - J. Parker - C. Payne - A. Blakeney - C. Hutchison,CHI,1,63.2,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
22,R. Lopez - J. Holiday - R. Arcidiacono - S. Harrison - A. Blakeney,CHI,1,62.5,100.0,50.0,150.0,33.3,0.0,25.0,0.0,0.0,0.0,0.0,50.0,50.0,100.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,-25.0
23,B. Portis - R. Arcidiacono - S. Harrison - A. Blakeney - W. Carter Jr.,CHI,2,62.1,125.0,50.0,100.0,50.0,25.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,25.0,25.0,-75.0
