,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,K. Love - R. Lopez - C. Osman - D. Mitchell - L. Stevens,CLE,1,86.7,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-500.0
2,R. Neto - C. Osman - C. LeVert - D. Mitchell - M. Diakite,CLE,1,81.3,250.0,100.0,125.0,80.0,50.0,75.0,66.7,0.0,0.0,0.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,50.0,0.0,-25.0
3,R. Rubio - C. LeVert - J. Allen - D. Wade - E. Mobley,CLE,1,79.2,100.0,0.0,100.0,0.0,0.0,50.0,0.0,100.0,100.0,100,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0
4,R. Neto - D. Wade - I. Okoro - L. Stevens - I. Mobley,CLE,1,78.3,150.0,50.0,50.0,100,0.0,0.0,0.0,50.0,50.0,100,0.0,50.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0
5,K. Love - C. LeVert - J. Allen - D. Garland - D. Wade,CLE,1,71.7,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
6,R. Rubio - C. Osman - D. Mitchell - M. Diakite - L. Stevens,CLE,1,70.8,0.0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-250.0
7,R. Lopez - R. Rubio - C. Osman - D. Garland - D. Wade,CLE,1,70.0,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0
8,R. Neto - D. Mitchell - D. Garland - L. Stevens - E. Mobley,CLE,1,70.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
9,R. Lopez - R. Neto - C. Osman - M. Diakite - L. Stevens,CLE,2,68.3,40.0,20.0,40.0,50.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,40.0,0.0,0.0,0.0,40.0,0.0,-160.0
10,D. Green - D. Mitchell - J. Allen - D. Garland - L. Stevens,CLE,1,67.8,66.7,33.3,133.3,25.0,0.0,66.7,0.0,0.0,0.0,0.0,33.3,66.7,100.0,0.0,0.0,33.3,0.0,0.0,33.3,0.0,-66.7
11,R. Neto - C. LeVert - J. Allen - D. Garland - E. Mobley,CLE,2,67.8,100.0,33.3,166.7,20.0,0.0,33.3,0.0,33.3,33.3,100,66.7,0.0,66.7,0.0,33.3,0.0,0.0,33.3,66.7,0.0,-133.3
12,D. Green - R. Neto - M. Diakite - D. Wade - I. Mobley,CLE,1,66.7,0.0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,100.0,0.0,50.0,50.0,0.0,50.0,100.0,0.0,-150.0
13,K. Love - R. Lopez - C. Osman - C. LeVert - D. Garland,CLE,1,66.7,300.0,100.0,200.0,50.0,100.0,100.0,100,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0
14,R. Lopez - R. Neto - C. LeVert - D. Wade - L. Stevens,CLE,1,66.7,100.0,50.0,50.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.0,0.0,0.0
15,D. Green - R. Neto - M. Diakite - D. Windler - D. Wade,CLE,1,65.3,166.7,66.7,100.0,66.7,16.7,33.3,50.0,16.7,33.3,50.0,16.7,50.0,66.7,33.3,16.7,0.0,0.0,0.0,0.0,16.7,50.0
16,R. Neto - J. Allen - D. Garland - D. Wade - L. Stevens,CLE,1,65.0,100.0,50.0,50.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,-50.0
17,K. Love - D. Mitchell - M. Diakite - D. Garland - E. Mobley,CLE,1,63.3,133.3,66.7,100.0,66.7,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,33.3,0.0,0.0,0.0,33.3,-33.3
18,R. Lopez - R. Neto - I. Okoro - L. Stevens - I. Mobley,CLE,1,63.3,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,100.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0
19,R. Neto - C. LeVert - J. Allen - L. Stevens - E. Mobley,CLE,1,62.8,133.3,66.7,133.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,100.0,133.3,66.7,0.0,0.0,0.0,0.0,0.0,0.0,133.3
