,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,D. Nowitzki - Z. Pachulia - R. Felton - D. Williams - J. Anderson,DAL,1,103.3,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0
2,Z. Pachulia - R. Felton - D. Williams - J. Evans - J. Jenkins,DAL,1,87.5,0.0,0.0,150.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,-50.0
3,D. Harris - D. Williams - J. McGee - W. Matthews - D. Powell,DAL,1,80.8,0.0,0.0,150.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,150.0,50.0,200.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,-100.0
4,Z. Pachulia - D. Harris - D. Williams - D. Lee - W. Matthews,DAL,1,80.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,150.0,0.0,-300.0
5,R. Felton - C. Villanueva - D. Williams - J. McGee - C. Parsons,DAL,1,76.1,66.7,33.3,100.0,33.3,0.0,33.3,0.0,0.0,0.0,0.0,0.0,66.7,66.7,0.0,0.0,0.0,66.7,33.3,33.3,0.0,0.0
6,D. Harris - J. Barea - W. Matthews - C. Parsons - D. Powell,DAL,3,75.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,-500.0
7,J. Barea - W. Matthews - D. Powell - J. Anderson - S. Mejri,DAL,1,74.2,150.0,50.0,200.0,25.0,0.0,0.0,0.0,50.0,100.0,50.0,150.0,0.0,150.0,50.0,0.0,0.0,0.0,50.0,0.0,50.0,-100.0
8,D. Harris - R. Felton - W. Matthews - J. Evans - D. Powell,DAL,2,72.7,200.0,0.0,100.0,0.0,0.0,0.0,0.0,200.0,200.0,100,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0
9,R. Felton - J. McGee - J. Jenkins - D. Powell - J. Anderson,DAL,1,71.7,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,-300.0
10,D. Harris - D. Lee - J. Barea - J. Anderson - S. Mejri,DAL,1,70.8,0.0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,50.0,-200.0
11,D. Williams - J. Barea - J. McGee - C. Parsons - J. Anderson,DAL,1,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-300.0
12,R. Felton - D. Lee - W. Matthews - D. Powell - J. Anderson,DAL,2,69.3,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-200.0
13,D. Nowitzki - D. Harris - R. Felton - J. McGee - J. Anderson,DAL,1,69.0,120.0,60.0,100.0,60.0,0.0,20.0,0.0,0.0,60.0,0.0,20.0,60.0,80.0,20.0,0.0,0.0,0.0,0.0,20.0,80.0,0.0
14,D. Williams - J. Barea - J. McGee - W. Matthews - D. Powell,DAL,1,67.5,250.0,100.0,100.0,100,50.0,50.0,100,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0
15,R. Felton - D. Williams - J. Barea - W. Matthews - D. Powell,DAL,1,67.2,166.7,66.7,133.3,50.0,33.3,100.0,33.3,0.0,0.0,0.0,66.7,0.0,66.7,33.3,0.0,33.3,0.0,0.0,33.3,0.0,33.3
16,D. Nowitzki - R. Felton - W. Matthews - C. Parsons - S. Mejri,DAL,1,66.7,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,200.0
17,D. Nowitzki - R. Felton - W. Matthews - J. Evans - J. Jenkins,DAL,1,66.7,183.3,66.7,116.7,57.1,50.0,83.3,60.0,0.0,0.0,0.0,33.3,50.0,83.3,50.0,16.7,0.0,0.0,0.0,0.0,33.3,116.7
18,R. Felton - C. Villanueva - D. Williams - D. Powell - J. Anderson,DAL,1,66.7,150.0,50.0,100.0,50.0,50.0,50.0,100,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0
19,Z. Pachulia - R. Felton - C. Villanueva - D. Williams - J. Jenkins,DAL,1,65.8,100.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,100.0,50.0,50.0,0.0,0.0,0.0,50.0,0.0,-50.0
20,D. Harris - R. Felton - D. Williams - J. Evans - D. Powell,DAL,1,65.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,50.0,0.0,0.0,0.0,100.0,0.0,-250.0
21,R. Felton - D. Lee - J. Barea - D. Powell - J. Anderson,DAL,1,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,200.0,0.0,-100.0
22,R. Felton - D. Williams - W. Matthews - J. Evans - D. Powell,DAL,1,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,-300.0
23,R. Felton - D. Williams - J. McGee - W. Matthews - D. Powell,DAL,2,64.7,66.7,33.3,100.0,33.3,0.0,33.3,0.0,0.0,0.0,0.0,16.7,16.7,33.3,16.7,16.7,16.7,0.0,16.7,66.7,0.0,-16.7
24,Z. Pachulia - R. Felton - C. Villanueva - D. Williams - J. Barea,DAL,1,64.2,100.0,50.0,150.0,33.3,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,100.0
