,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,M. Plumlee - N. Jokic - P. Dozier - M. Morris - K. Bates-Diop,DEN,1,96.7,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,200.0
2,W. Barton - N. Jokic - M. Beasley - J. Hernangomez - T. Craig,DEN,1,86.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0
3,M. Plumlee - M. Morris - T. Craig - M. Porter Jr. - B. Bol,DEN,1,80.0,200.0,100.0,200.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
4,W. Barton - J. Grant - M. Beasley - M. Porter Jr. - J. Vanderbilt,DEN,1,80.0,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
5,M. Plumlee - G. Harris - N. Jokic - J. Murray - M. Porter Jr.,DEN,1,75.6,133.3,66.7,166.7,40.0,0.0,33.3,0.0,0.0,0.0,0.0,66.7,33.3,100.0,33.3,0.0,0.0,0.0,0.0,33.3,0.0,-33.3
6,M. Beasley - J. Hernangomez - M. Morris - V. Cancar - M. Porter Jr.,DEN,1,74.5,300.0,100.0,100.0,100,100.0,100.0,100,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0
7,T. Daniels - N. Vonleh - P. Dozier - T. Craig - M. Porter Jr.,DEN,1,73.3,0.0,0.0,200.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,M. Plumlee - J. Grant - P. Dozier - T. Craig - M. Porter Jr.,DEN,1,71.7,0.0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-350.0
9,P. Millsap - W. Barton - N. Jokic - M. Morris - T. Craig,DEN,1,71.7,133.3,66.7,100.0,66.7,0.0,33.3,0.0,0.0,0.0,0.0,0.0,33.3,33.3,66.7,0.0,0.0,0.0,0.0,66.7,0.0,-66.7
10,W. Barton - M. Plumlee - M. Beasley - M. Morris - M. Porter Jr.,DEN,1,68.3,100.0,50.0,200.0,25.0,0.0,50.0,0.0,0.0,0.0,0.0,100.0,50.0,150.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-100.0
11,P. Millsap - N. Jokic - J. Murray - M. Morris - M. Porter Jr.,DEN,2,67.9,125.0,50.0,100.0,50.0,25.0,25.0,100,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,25.0,0.0,0.0,50.0,0.0,-50.0
12,M. Beasley - J. Hernangomez - M. Morris - V. Cancar - T. Craig,DEN,1,67.2,166.7,33.3,166.7,20.0,0.0,66.7,0.0,100.0,133.3,75.0,133.3,33.3,166.7,33.3,33.3,0.0,0.0,66.7,0.0,66.7,100.0
13,M. Plumlee - G. Harris - J. Grant - M. Beasley - T. Craig,DEN,2,67.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-100.0
14,M. Beasley - J. Murray - V. Cancar - T. Craig - M. Porter Jr.,DEN,1,66.7,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,-200.0
15,W. Barton - J. Grant - J. Murray - J. Hernangomez - M. Morris,DEN,1,66.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-100.0
16,W. Barton - J. Grant - N. Jokic - J. Murray - J. Hernangomez,DEN,2,66.0,140.0,60.0,80.0,75.0,20.0,40.0,50.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20.0,0.0,60.0
17,G. Harris - N. Jokic - P. Dozier - M. Morris - T. Craig,DEN,1,65.3,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
18,P. Millsap - N. Vonleh - P. Dozier - M. Morris - T. Craig,DEN,1,63.9,33.3,0.0,100.0,0.0,0.0,0.0,0.0,33.3,66.7,50.0,33.3,33.3,66.7,0.0,0.0,0.0,0.0,0.0,100.0,100.0,-66.7
19,J. McRae - J. Grant - N. Jokic - J. Murray - M. Morris,DEN,1,61.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-300.0
20,M. Plumlee - J. Grant - N. Jokic - P. Dozier - K. Bates-Diop,DEN,1,61.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-300.0
21,P. Millsap - M. Plumlee - J. Grant - P. Dozier - T. Craig,DEN,2,61.7,0.0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-450.0
22,M. Plumlee - G. Harris - J. Grant - J. Murray - T. Craig,DEN,3,60.9,133.3,66.7,133.3,50.0,0.0,0.0,0.0,0.0,33.3,0.0,66.7,0.0,66.7,0.0,0.0,0.0,0.0,33.3,0.0,0.0,-66.7
23,J. Grant - N. Jokic - M. Beasley - J. Murray - M. Porter Jr.,DEN,2,60.6,133.3,33.3,66.7,50.0,0.0,33.3,0.0,66.7,66.7,100,0.0,66.7,66.7,0.0,0.0,0.0,0.0,0.0,33.3,66.7,100.0
