,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,T. Harris - D. Buycks - E. Moreland - S. Johnson - L. Kennard,DET,2,112.3,300.0,100.0,100.0,100,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
2,A. Tolliver - A. Bradley - I. Smith - S. Johnson - B. Marjanovic,DET,1,76.7,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
3,W. Reed - R. Bullock - R. Hearn - H. Ellenson - K. Felder,DET,1,75.0,300.0,100.0,100.0,100,100.0,100.0,100,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,300.0
4,D. Buycks - J. Ennis III - E. Moreland - S. Johnson - H. Ellenson,DET,1,73.3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,-100.0
5,I. Smith - T. Harris - J. Leuer - A. Drummond - L. Galloway,DET,1,72.5,200.0,100.0,150.0,66.7,0.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0
6,J. Nelson - A. Drummond - L. Galloway - H. Ellenson - L. Kennard,DET,1,71.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,-300.0
7,A. Tolliver - I. Smith - L. Galloway - S. Johnson - H. Ellenson,DET,1,70.5,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.0
8,A. Tolliver - T. Harris - R. Jackson - R. Bullock - S. Johnson,DET,3,69.1,116.7,33.3,83.3,40.0,16.7,33.3,50.0,33.3,33.3,100,0.0,33.3,33.3,16.7,16.7,0.0,33.3,16.7,50.0,16.7,0.0
9,A. Tolliver - I. Smith - J. Leuer - S. Johnson - L. Kennard,DET,2,68.8,114.3,57.1,100.0,57.1,0.0,42.9,0.0,0.0,0.0,0.0,0.0,42.9,42.9,14.3,0.0,0.0,0.0,0.0,57.1,14.3,-42.9
10,A. Bradley - I. Smith - E. Moreland - S. Johnson - H. Ellenson,DET,1,66.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-100.0
11,B. Griffin - I. Smith - W. Reed - R. Bullock - S. Johnson,DET,1,66.7,166.7,66.7,100.0,66.7,33.3,33.3,100,0.0,0.0,0.0,0.0,0.0,0.0,50.0,16.7,0.0,0.0,16.7,66.7,0.0,33.3
12,J. Nelson - A. Tolliver - E. Moreland - L. Galloway - L. Kennard,DET,1,66.7,66.7,33.3,100.0,33.3,0.0,33.3,0.0,0.0,0.0,0.0,0.0,33.3,33.3,33.3,0.0,0.0,0.0,0.0,100.0,33.3,-100.0
