,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,A. Iguodala - A. Wiggins - K. Looney - D. DiVincenzo - J. Poole,GSW,1,94.2,200.0,100.0,250.0,40.0,0.0,100.0,0.0,0.0,0.0,0.0,150.0,50.0,200.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,100.0
2,S. Curry - K. Thompson - D. DiVincenzo - J. Kuminga - A. Lamb,GSW,1,93.3,150.0,50.0,50.0,100,50.0,50.0,100,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.0,0.0,50.0
3,D. Green - J. Green - A. Wiggins - T. Jerome - J. Poole,GSW,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,300.0,0.0,-400.0
4,D. Green - J. Green - T. Jerome - J. Poole - P. Baldwin Jr.,GSW,1,83.3,66.7,33.3,100.0,33.3,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,33.3,0.0,0.0,66.7,0.0,-200.0
5,A. Wiggins - K. Looney - T. Jerome - J. Poole - A. Lamb,GSW,1,80.0,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,-300.0
6,J. Poole - J. Wiseman - J. Kuminga - A. Lamb - M. Moody,GSW,1,75.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-500.0
7,S. Curry - A. Wiggins - K. Looney - J. Poole - A. Lamb,GSW,2,74.4,166.7,66.7,166.7,40.0,33.3,66.7,50.0,0.0,0.0,0.0,33.3,66.7,100.0,0.0,0.0,0.0,33.3,33.3,100.0,33.3,33.3
8,K. Thompson - J. Green - T. Jerome - A. Lamb - P. Baldwin Jr.,GSW,1,71.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,-100.0
9,D. DiVincenzo - T. Jerome - J. Kuminga - A. Lamb - M. Moody,GSW,1,70.6,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,33.3,66.7,100.0
10,S. Curry - K. Thompson - D. Green - G. Payton II - A. Lamb,GSW,1,70.0,75.0,25.0,200.0,12.5,25.0,125.0,20.0,0.0,0.0,0.0,125.0,25.0,150.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0,-125.0
11,K. Looney - J. Poole - J. Kuminga - M. Moody - P. Baldwin Jr.,GSW,1,66.7,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,S. Curry - J. Green - G. Payton II - J. Kuminga - M. Moody,GSW,1,64.2,100.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,K. Looney - G. Payton II - D. DiVincenzo - J. Poole - J. Kuminga,GSW,1,63.7,175.0,50.0,100.0,50.0,25.0,75.0,33.3,50.0,50.0,100,25.0,25.0,50.0,50.0,0.0,0.0,25.0,0.0,0.0,25.0,50.0
14,S. Curry - D. Green - J. Green - A. Wiggins - J. Poole,GSW,1,61.7,100.0,33.3,100.0,33.3,33.3,66.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,100.0,0.0,-66.7
15,K. Thompson - T. Jerome - J. Wiseman - A. Lamb - M. Moody,GSW,2,60.7,120.0,50.0,150.0,33.3,20.0,70.0,28.6,0.0,0.0,0.0,40.0,20.0,60.0,40.0,0.0,0.0,0.0,0.0,40.0,10.0,-10.0
16,A. Iguodala - K. Thompson - J. Green - D. DiVincenzo - J. Poole,GSW,1,60.6,100.0,33.3,133.3,25.0,33.3,133.3,25.0,0.0,0.0,0.0,33.3,0.0,33.3,33.3,0.0,0.0,0.0,0.0,33.3,0.0,-200.0
17,J. Green - D. DiVincenzo - T. Jerome - J. Kuminga - A. Lamb,GSW,2,60.3,60.0,20.0,60.0,33.3,20.0,60.0,33.3,0.0,20.0,0.0,0.0,0.0,0.0,20.0,40.0,0.0,0.0,0.0,0.0,20.0,-160.0
18,J. Green - A. Wiggins - K. Looney - D. DiVincenzo - J. Poole,GSW,3,58.5,166.7,58.3,108.3,53.8,50.0,58.3,85.7,0.0,0.0,0.0,16.7,16.7,33.3,58.3,8.3,0.0,0.0,0.0,25.0,0.0,-50.0
19,J. Green - T. Jerome - J. Wiseman - J. Kuminga - M. Moody,GSW,2,58.3,66.7,16.7,66.7,25.0,0.0,16.7,0.0,33.3,33.3,100,0.0,0.0,0.0,16.7,33.3,0.0,16.7,0.0,0.0,33.3,-133.3
20,K. Thompson - A. Wiggins - K. Looney - D. DiVincenzo - T. Jerome,GSW,1,58.3,300.0,100.0,100.0,100,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,-300.0
21,K. Thompson - J. Green - A. Wiggins - K. Looney - T. Jerome,GSW,1,58.3,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,-100.0
22,D. Green - A. Wiggins - D. DiVincenzo - T. Jerome - J. Poole,GSW,2,58.1,133.3,50.0,83.3,60.0,33.3,50.0,66.7,0.0,0.0,0.0,0.0,16.7,16.7,50.0,16.7,0.0,0.0,0.0,66.7,16.7,-116.7
23,A. Wiggins - D. DiVincenzo - T. Jerome - A. Lamb - P. Baldwin Jr.,GSW,1,57.9,75.0,25.0,100.0,25.0,25.0,75.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,75.0,0.0,-100.0
24,K. Looney - D. DiVincenzo - T. Jerome - A. Lamb - P. Baldwin Jr.,GSW,1,57.8,100.0,33.3,100.0,33.3,33.3,66.7,50.0,0.0,0.0,0.0,0.0,33.3,33.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,33.3
25,S. Curry - A. Wiggins - K. Looney - D. DiVincenzo - J. Kuminga,GSW,1,57.5,180.0,60.0,100.0,60.0,40.0,40.0,100,20.0,20.0,100,20.0,20.0,40.0,40.0,10.0,0.0,10.0,10.0,20.0,10.0,-30.0
26,A. Iguodala - K. Looney - T. Jerome - J. Poole - A. Lamb,GSW,1,57.2,133.3,33.3,100.0,33.3,0.0,66.7,0.0,66.7,66.7,100,33.3,66.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,66.7
27,K. Thompson - D. Green - D. DiVincenzo - J. Kuminga - A. Lamb,GSW,2,57.2,50.0,25.0,100.0,25.0,0.0,75.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,25.0,0.0,50.0
28,S. Curry - K. Thompson - D. Green - J. Kuminga - M. Moody,GSW,2,57.2,100.0,33.3,100.0,33.3,33.3,33.3,100,0.0,0.0,0.0,33.3,0.0,33.3,33.3,33.3,0.0,0.0,33.3,66.7,0.0,-166.7
29,K. Thompson - J. Green - J. Poole - J. Kuminga - A. Lamb,GSW,5,57.0,120.0,45.0,95.0,47.4,25.0,50.0,50.0,5.0,10.0,50.0,10.0,15.0,25.0,35.0,5.0,0.0,5.0,0.0,20.0,15.0,-50.0
30,S. Curry - A. Wiggins - K. Looney - T. Jerome - M. Moody,GSW,2,56.3,75.0,25.0,112.5,22.2,12.5,87.5,14.3,12.5,25.0,50.0,37.5,12.5,50.0,25.0,0.0,0.0,0.0,0.0,0.0,12.5,-87.5
31,S. Curry - D. Green - J. Kuminga - A. Lamb - M. Moody,GSW,1,56.3,100.0,50.0,75.0,66.7,0.0,25.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,25.0,25.0,0.0,0.0,0.0,25.0,0.0,-75.0
32,A. Iguodala - S. Curry - D. Green - D. DiVincenzo - J. Poole,GSW,1,56.0,157.1,57.1,100.0,57.1,14.3,42.9,33.3,28.6,28.6,100,0.0,28.6,28.6,28.6,0.0,0.0,0.0,14.3,14.3,28.6,28.6
