,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,B. Fernando - D. Nix - K. Martin Jr. - J. Christopher - J. Smith Jr.,HOU,1,76.7,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
2,B. Marjanovic - K. Porter Jr. - G. Mathews - J. Green - T. Eason,HOU,1,70.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,-150.0
3,E. Gordon - G. Mathews - K. Martin Jr. - J. Tate - U. Garuba,HOU,1,68.3,200.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,100,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
4,K. Porter Jr. - G. Mathews - J. Green - K. Martin Jr. - J. Smith Jr.,HOU,1,67.3,160.0,60.0,140.0,42.9,0.0,60.0,0.0,40.0,40.0,100,60.0,40.0,100.0,40.0,0.0,20.0,0.0,0.0,40.0,60.0,80.0
5,E. Gordon - B. Marjanovic - K. Martin Jr. - J. Christopher - J. Smith Jr.,HOU,1,66.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,200.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
6,K. Porter Jr. - D. Nix - A. Sengun - J. Smith Jr. - T. Eason,HOU,1,66.7,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-200.0
7,K. Porter Jr. - J. Green - K. Martin Jr. - J. Christopher - A. Sengun,HOU,1,66.7,300.0,100.0,100.0,100,0.0,0.0,0.0,100.0,100.0,100,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,300.0
8,E. Gordon - G. Mathews - J. Green - A. Sengun - T. Eason,HOU,1,65.8,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,-100.0
9,K. Porter Jr. - D. Nix - J. Christopher - J. Smith Jr. - T. Eason,HOU,1,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,200.0,0.0,-400.0
10,K. Porter Jr. - G. Mathews - K. Martin Jr. - J. Christopher - T. Eason,HOU,1,65.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-300.0
11,D. Nix - K. Martin Jr. - J. Tate - A. Sengun - T. Eason,HOU,2,64.4,133.3,66.7,166.7,40.0,0.0,66.7,0.0,0.0,0.0,0.0,66.7,33.3,100.0,0.0,0.0,0.0,0.0,0.0,100.0,33.3,-66.7
12,K. Porter Jr. - K. Martin Jr. - J. Tate - U. Garuba - T. Washington Jr.,HOU,1,64.2,50.0,25.0,125.0,20.0,0.0,75.0,0.0,0.0,0.0,0.0,25.0,50.0,75.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0
13,K. Porter Jr. - D. Nix - J. Christopher - U. Garuba - J. Smith Jr.,HOU,1,63.6,128.6,57.1,128.6,44.4,14.3,42.9,33.3,0.0,0.0,0.0,14.3,14.3,28.6,28.6,28.6,14.3,0.0,14.3,14.3,0.0,28.6
14,B. Marjanovic - D. Nix - J. Christopher - U. Garuba - T. Hudgins,HOU,1,63.1,100.0,33.3,83.3,40.0,16.7,33.3,50.0,16.7,16.7,100,0.0,0.0,0.0,33.3,16.7,16.7,0.0,0.0,0.0,33.3,-33.3
15,B. Fernando - K. Porter Jr. - J. Green - J. Christopher - T. Eason,HOU,1,62.8,66.7,33.3,66.7,50.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,66.7,66.7,0.0,0.0,0.0,0.0,0.0,0.0,66.7,-33.3
