,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,A. Jefferson - C. Miles - A. Brooks - J. Teague - G. Robinson III,IND,1,85.0,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,C. Miles - A. Brooks - G. Robinson III - R. Christmas - J. Young,IND,1,83.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
3,C. Miles - A. Brooks - L. Allen - G. Robinson III - J. Young,IND,1,82.5,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
4,C. Miles - M. Ellis - T. Young - J. Teague - K. Seraphin,IND,1,73.3,250.0,100.0,100.0,100,50.0,50.0,100,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0
5,C. Miles - J. Teague - P. George - K. Seraphin - L. Allen,IND,1,71.7,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,200.0
6,C. Miles - M. Ellis - R. Stuckey - P. George - K. Seraphin,IND,1,68.3,160.0,60.0,100.0,60.0,40.0,40.0,100,0.0,0.0,0.0,0.0,20.0,20.0,40.0,0.0,0.0,0.0,0.0,80.0,0.0,-60.0
7,M. Ellis - K. Seraphin - G. Robinson III - M. Turner - J. Young,IND,1,67.5,0.0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,-100.0
8,T. Young - A. Brooks - P. George - L. Allen - G. Robinson III,IND,1,64.5,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,R. Stuckey - J. Teague - P. George - K. Seraphin - M. Turner,IND,1,64.2,50.0,25.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0,25.0,25.0,-75.0
10,M. Ellis - J. Teague - P. George - L. Allen - R. Christmas,IND,1,63.7,125.0,50.0,75.0,66.7,25.0,50.0,50.0,0.0,0.0,0.0,25.0,50.0,75.0,50.0,25.0,0.0,0.0,0.0,0.0,25.0,75.0
11,A. Jefferson - C. Miles - A. Brooks - P. George - K. Seraphin,IND,2,63.3,100.0,50.0,125.0,40.0,0.0,50.0,0.0,0.0,0.0,0.0,25.0,75.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,25.0,50.0
12,C. Miles - R. Stuckey - J. Teague - G. Robinson III - M. Turner,IND,1,63.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,-500.0
13,M. Ellis - T. Young - P. George - G. Robinson III - M. Turner,IND,1,62.1,50.0,25.0,125.0,20.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,75.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,A. Jefferson - R. Stuckey - A. Brooks - J. Teague - M. Turner,IND,1,61.1,133.3,41.7,66.7,62.5,8.3,25.0,33.3,41.7,50.0,83.3,0.0,41.7,41.7,16.7,16.7,0.0,8.3,0.0,33.3,33.3,25.0
