,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,D. Dickau - S. Parker - Q. Ross - J. Powell - N. Fazekas,LAC,1,108.3,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,200.0,0.0,200.0
2,T. Thomas - B. Knight - C. Maggette - D. Dickau - A. Thornton,LAC,1,90.2,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,-200.0
3,A. Williams - T. Thomas - B. Knight - C. Maggette - A. Thornton,LAC,1,90.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-100.0
4,T. Thomas - B. Knight - C. Mobley - R. Frahm - C. Kaman,LAC,1,89.3,100.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,100.0,50.0,100.0
5,T. Thomas - R. Patterson - D. Dickau - C. Kaman - Q. Ross,LAC,2,88.7,50.0,0.0,150.0,0.0,0.0,50.0,0.0,50.0,100.0,50.0,50.0,100.0,150.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,-100.0
6,A. Williams - T. Thomas - B. Knight - C. Maggette - Q. Ross,LAC,1,86.8,100.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,-50.0
7,T. Thomas - B. Knight - R. Patterson - P. Davis - A. Thornton,LAC,1,82.8,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,100.0,0.0,-266.7
8,T. Thomas - C. Mobley - C. Maggette - S. Parker - C. Kaman,LAC,1,78.3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-200.0
9,T. Thomas - B. Knight - C. Mobley - D. Dickau - C. Kaman,LAC,1,77.5,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,-100.0
10,D. Dickau - R. Frahm - C. Kaman - Q. Ross - J. Powell,LAC,1,75.8,100.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,50.0,100.0,0.0,0.0
11,C. Maggette - D. Dickau - J. Powell - A. Barrett - A. Thornton,LAC,1,74.4,133.3,66.7,100.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,33.3,33.3,-66.7
12,A. Williams - C. Maggette - D. Dickau - C. Kaman - A. Thornton,LAC,1,71.7,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.0
13,B. Knight - R. Patterson - C. Maggette - C. Kaman - P. Davis,LAC,1,70.8,200.0,50.0,100.0,50.0,0.0,0.0,0.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
14,S. Cassell - T. Thomas - C. Maggette - P. Davis - A. Thornton,LAC,2,68.9,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,33.3,66.7,0.0,-233.3
15,B. Knight - C. Maggette - C. Kaman - Q. Ross - J. Powell,LAC,3,68.4,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,50.0,0.0,25.0,0.0,25.0,25.0,-175.0
16,A. Williams - T. Thomas - B. Knight - C. Mobley - C. Kaman,LAC,1,68.3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-350.0
17,T. Thomas - D. Dickau - C. Kaman - Q. Ross - A. Thornton,LAC,1,68.3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.0
18,A. Williams - C. Mobley - D. Dickau - P. Davis - A. Thornton,LAC,1,67.3,120.0,40.0,140.0,28.6,0.0,0.0,0.0,40.0,40.0,100,40.0,20.0,60.0,20.0,0.0,0.0,20.0,0.0,60.0,20.0,-100.0
19,A. Williams - C. Mobley - D. Dickau - Q. Ross - A. Thornton,LAC,3,67.2,85.7,42.9,85.7,50.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,14.3,14.3,28.6,28.6,14.3,28.6,0.0,14.3,14.3,-85.7
20,B. Knight - D. Dickau - Q. Ross - J. Powell - A. Thornton,LAC,1,66.7,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,B. Knight - R. Patterson - C. Mobley - P. Davis - A. Thornton,LAC,1,66.1,66.7,33.3,133.3,25.0,0.0,33.3,0.0,0.0,0.0,0.0,66.7,0.0,66.7,0.0,33.3,0.0,0.0,0.0,33.3,33.3,-166.7
22,B. Knight - C. Mobley - C. Kaman - Q. Ross - J. Powell,LAC,1,65.8,50.0,16.7,83.3,20.0,0.0,0.0,0.0,16.7,33.3,50.0,16.7,33.3,50.0,0.0,16.7,0.0,0.0,0.0,33.3,33.3,-50.0
23,C. Mobley - E. Brand - S. Parker - A. Thornton - M. Williams,LAC,1,65.8,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,50.0,100.0,50.0
24,B. Knight - C. Mobley - C. Kaman - Q. Ross - A. Thornton,LAC,6,65.3,100.0,50.0,120.0,41.7,0.0,10.0,0.0,0.0,0.0,0.0,40.0,20.0,60.0,20.0,20.0,10.0,10.0,10.0,40.0,10.0,-30.0
25,A. Williams - C. Maggette - D. Dickau - J. Powell - A. Thornton,LAC,2,65.0,133.3,66.7,66.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,33.3,33.3,33.3,0.0,0.0,0.0,33.3,0.0,0.0
26,C. Maggette - D. Dickau - R. Frahm - J. Powell - A. Thornton,LAC,1,65.0,100.0,50.0,100.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
27,S. Cassell - B. Knight - C. Mobley - R. Frahm - J. Powell,LAC,1,65.0,175.0,50.0,225.0,22.2,0.0,50.0,0.0,75.0,75.0,100,150.0,25.0,175.0,25.0,0.0,25.0,0.0,75.0,25.0,100.0,125.0
28,T. Thomas - B. Knight - R. Patterson - C. Mobley - P. Davis,LAC,1,65.0,100.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,50.0,50.0,50.0,0.0,-50.0
29,R. Patterson - C. Mobley - D. Dickau - P. Davis - A. Thornton,LAC,1,64.7,66.7,33.3,100.0,33.3,0.0,0.0,0.0,0.0,16.7,0.0,16.7,33.3,50.0,16.7,16.7,16.7,0.0,16.7,33.3,16.7,0.0
30,B. Knight - C. Mobley - C. Maggette - J. Powell - N. Fazekas,LAC,2,63.6,128.6,57.1,100.0,57.1,14.3,14.3,100,0.0,0.0,0.0,28.6,14.3,42.9,28.6,28.6,0.0,0.0,28.6,42.9,0.0,-14.3
31,C. Mobley - D. Dickau - R. Frahm - P. Davis - A. Thornton,LAC,1,62.7,80.0,40.0,120.0,33.3,0.0,20.0,0.0,0.0,0.0,0.0,20.0,20.0,40.0,40.0,0.0,40.0,0.0,0.0,20.0,0.0,-80.0
