,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,L. James - R. Rondo - L. Stephenson - K. Kuzma - J. Williams,LAL,1,131.7,200.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,100.0,-100.0
2,L. James - R. Rondo - L. Stephenson - B. Ingram - L. Ball,LAL,1,103.3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-200.0
3,A. Ingram - K. Caldwell-Pope - R. Bullock - A. Caruso - K. Kuzma,LAL,1,98.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
4,R. Rondo - L. Stephenson - K. Caldwell-Pope - S. Mykhailiuk - M. Wagner,LAL,1,80.8,250.0,100.0,150.0,66.7,50.0,50.0,100,0.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,L. James - K. Caldwell-Pope - R. Bullock - B. Ingram - J. Hart,LAL,1,80.0,300.0,100.0,100.0,100,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,R. Rondo - M. Beasley - J. McGee - L. Stephenson - B. Ingram,LAL,1,73.3,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,-300.0
7,R. Rondo - R. Bullock - A. Caruso - K. Kuzma - M. Wagner,LAL,2,70.0,100.0,33.3,133.3,25.0,33.3,100.0,33.3,0.0,0.0,0.0,33.3,33.3,66.7,33.3,0.0,33.3,0.0,0.0,100.0,0.0,-100.0
8,K. Caldwell-Pope - B. Ingram - J. Hart - S. Mykhailiuk - M. Wagner,LAL,1,68.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.0
9,K. Kuzma - J. Hart - S. Mykhailiuk - M. Wagner - I. Bonga,LAL,1,65.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-200.0
10,L. James - J. McGee - K. Caldwell-Pope - L. Ball - S. Mykhailiuk,LAL,1,64.4,100.0,33.3,100.0,33.3,33.3,66.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,33.3,-100.0
11,R. Rondo - J. McGee - L. Stephenson - B. Ingram - K. Kuzma,LAL,2,63.3,233.3,100.0,100.0,100,0.0,0.0,0.0,33.3,33.3,100,0.0,0.0,0.0,66.7,0.0,33.3,0.0,0.0,100.0,33.3,-66.7
12,K. Caldwell-Pope - M. Muscala - I. Bonga - J. Williams - J. Jones,LAL,1,62.5,100.0,50.0,150.0,33.3,0.0,25.0,0.0,0.0,0.0,0.0,50.0,25.0,75.0,0.0,0.0,25.0,25.0,0.0,25.0,0.0,-75.0
13,L. James - K. Caldwell-Pope - M. Muscala - K. Kuzma - J. Hart,LAL,1,62.5,100.0,50.0,100.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,-100.0
14,L. James - J. McGee - K. Caldwell-Pope - R. Bullock - B. Ingram,LAL,1,61.7,160.0,80.0,100.0,80.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,40.0,0.0,20.0,0.0,0.0,20.0,0.0,40.0
15,M. Beasley - J. McGee - B. Ingram - J. Hart - S. Mykhailiuk,LAL,1,61.7,100.0,25.0,125.0,20.0,0.0,0.0,0.0,50.0,50.0,100,75.0,25.0,100.0,0.0,25.0,0.0,0.0,0.0,25.0,50.0,-100.0
16,T. Chandler - L. James - M. Beasley - L. Stephenson - J. Hart,LAL,2,61.3,80.0,20.0,80.0,25.0,0.0,20.0,0.0,40.0,40.0,100,0.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,40.0,20.0,-160.0
17,L. Stephenson - K. Caldwell-Pope - L. Ball - S. Mykhailiuk - J. Williams,LAL,1,60.8,125.0,50.0,125.0,40.0,25.0,75.0,33.3,0.0,0.0,0.0,25.0,25.0,50.0,25.0,0.0,0.0,0.0,25.0,25.0,0.0,-75.0
18,L. Stephenson - A. Caruso - M. Wagner - I. Bonga - J. Williams,LAL,1,60.6,200.0,100.0,133.3,75.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,33.3,66.7,0.0,0.0,0.0,0.0,0.0,66.7,33.3,-33.3
19,K. Caldwell-Pope - B. Ingram - I. Zubac - L. Ball - S. Mykhailiuk,LAL,1,59.4,266.7,100.0,133.3,75.0,33.3,66.7,50.0,33.3,33.3,100,33.3,0.0,33.3,100.0,0.0,0.0,0.0,0.0,66.7,33.3,66.7
20,J. McGee - K. Caldwell-Pope - A. Caruso - S. Mykhailiuk - M. Wagner,LAL,1,59.2,100.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,0.0,0.0,-50.0
21,L. James - R. Rondo - J. McGee - L. Stephenson - K. Kuzma,LAL,1,58.9,66.7,33.3,100.0,33.3,0.0,33.3,0.0,0.0,0.0,0.0,0.0,33.3,33.3,33.3,0.0,0.0,0.0,0.0,66.7,33.3,-166.7
22,M. Beasley - K. Caldwell-Pope - B. Ingram - I. Zubac - J. Hart,LAL,1,58.8,175.0,75.0,125.0,60.0,25.0,50.0,50.0,0.0,0.0,0.0,25.0,50.0,75.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0
23,T. Chandler - L. Stephenson - K. Caldwell-Pope - L. Ball - S. Mykhailiuk,LAL,2,58.8,71.4,28.6,100.0,28.6,0.0,42.9,0.0,14.3,28.6,50.0,14.3,57.1,71.4,0.0,0.0,14.3,0.0,0.0,57.1,28.6,-14.3
24,M. Beasley - K. Caldwell-Pope - I. Zubac - J. Hart - S. Mykhailiuk,LAL,1,58.3,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
25,R. Rondo - K. Caldwell-Pope - B. Ingram - I. Zubac - M. Wagner,LAL,1,58.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
