,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,J. Konchar - X. Tillman - S. Merrill - Z. Williams - S. Aldama,MEM,1,96.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-500.0
2,T. Jones - B. Clarke - K. Tillie - X. Tillman - D. Bane,MEM,1,95.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
3,K. Anderson - D. Brooks - J. Morant - B. Clarke - D. Bane,MEM,1,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,-500.0
4,K. Anderson - T. Jones - D. Brooks - J. Konchar - X. Tillman,MEM,1,80.0,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,-200.0
5,T. Jones - D. Brooks - K. Tillie - X. Tillman - D. Bane,MEM,1,75.0,150.0,0.0,50.0,0.0,0.0,50.0,0.0,150.0,200.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,-50.0
6,J. Jackson Jr. - J. Morant - K. Tillie - J. Konchar - X. Tillman,MEM,1,73.3,150.0,50.0,100.0,50.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,50.0,0.0,0.0,50.0,0.0,150.0
7,K. Anderson - D. Brooks - B. Clarke - D. Bane - S. Aldama,MEM,1,73.3,200.0,100.0,150.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0
8,J. Jackson Jr. - D. Melton - J. Morant - B. Clarke - K. Tillie,MEM,1,71.7,300.0,100.0,100.0,100,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
9,S. Adams - D. Brooks - D. Melton - J. Morant - D. Bane,MEM,1,69.2,200.0,100.0,150.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,0.0,50.0,50.0,0.0,50.0,100.0
10,J. Jackson Jr. - D. Melton - B. Clarke - D. Bane - S. Aldama,MEM,1,68.3,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,33.3,33.3,0.0,66.7,0.0,133.3
11,S. Adams - T. Jones - J. Jackson Jr. - J. Morant - K. Tillie,MEM,1,68.3,100.0,50.0,200.0,25.0,0.0,50.0,0.0,0.0,0.0,0.0,100.0,50.0,150.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,100.0
12,S. Adams - T. Jones - J. Morant - Z. Williams - S. Aldama,MEM,1,68.3,200.0,100.0,150.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,100.0,0.0,-50.0
13,T. Jones - J. Morant - B. Clarke - X. Tillman Sr. - D. Bane,MEM,1,68.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.0
14,S. Adams - J. Jackson Jr. - D. Melton - J. Culver - D. Bane,MEM,1,67.5,200.0,100.0,200.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,-50.0
15,K. Anderson - D. Melton - J. Culver - B. Clarke - D. Bane,MEM,1,67.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-300.0
16,S. Adams - K. Anderson - D. Brooks - J. Konchar - D. Bane,MEM,1,66.7,300.0,100.0,100.0,100,100.0,100.0,100,0.0,0.0,0.0,0.0,100.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0
17,T. Jones - D. Melton - J. Culver - B. Clarke - S. Aldama,MEM,1,65.8,50.0,25.0,125.0,20.0,0.0,100.0,0.0,0.0,0.0,0.0,50.0,25.0,75.0,0.0,25.0,0.0,0.0,0.0,50.0,0.0,-150.0
18,J. Jackson Jr. - D. Melton - J. Morant - J. Konchar - D. Bane,MEM,1,65.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,K. Anderson - D. Brooks - J. Culver - X. Tillman - D. Bane,MEM,1,65.0,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,200.0
20,T. Jones - D. Melton - K. Tillie - X. Tillman - Z. Williams,MEM,1,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,100.0,0.0,0.0,0.0,50.0,0.0,-100.0
21,T. Jones - D. Brooks - J. Jackson Jr. - J. Konchar - X. Tillman,MEM,2,63.9,100.0,50.0,83.3,60.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,16.7,16.7,0.0,0.0,0.0,0.0,0.0,33.3,33.3,-66.7
22,T. Jones - J. Jackson Jr. - D. Melton - J. Konchar - D. Bane,MEM,1,63.3,133.3,33.3,66.7,50.0,0.0,33.3,0.0,66.7,66.7,100,0.0,33.3,33.3,33.3,0.0,0.0,0.0,0.0,33.3,33.3,-33.3
23,K. Anderson - T. Jones - D. Melton - J. Konchar - X. Tillman,MEM,1,62.9,50.0,25.0,100.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,25.0,50.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,-150.0
24,S. Adams - T. Jones - J. Morant - J. Culver - B. Clarke,MEM,1,62.9,100.0,50.0,125.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,50.0,25.0,0.0,0.0,25.0,0.0,25.0,0.0,-25.0
25,S. Adams - B. Clarke - K. Tillie - J. Konchar - D. Bane,MEM,1,62.8,233.3,100.0,166.7,60.0,33.3,66.7,50.0,0.0,0.0,0.0,66.7,33.3,100.0,66.7,0.0,0.0,0.0,0.0,33.3,0.0,133.3
26,J. Morant - B. Clarke - J. Konchar - X. Tillman - Z. Williams,MEM,1,61.7,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-300.0
27,K. Anderson - T. Jones - D. Melton - J. Morant - X. Tillman Sr.,MEM,1,61.7,100.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-50.0
28,S. Adams - T. Jones - D. Melton - J. Konchar - D. Bane,MEM,1,61.7,200.0,100.0,200.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,-200.0
29,K. Anderson - D. Melton - J. Morant - B. Clarke - K. Tillie,MEM,1,61.4,57.1,28.6,85.7,33.3,0.0,28.6,0.0,0.0,0.0,0.0,0.0,14.3,14.3,14.3,14.3,0.0,0.0,14.3,42.9,0.0,-114.3
30,T. Jones - D. Brooks - D. Melton - X. Tillman - S. Aldama,MEM,1,60.6,200.0,66.7,133.3,50.0,66.7,100.0,66.7,0.0,0.0,0.0,33.3,0.0,33.3,66.7,0.0,0.0,33.3,0.0,0.0,0.0,33.3
31,K. Anderson - J. Culver - J. Konchar - X. Tillman - D. Bane,MEM,1,60.3,83.3,33.3,66.7,50.0,16.7,33.3,50.0,0.0,50.0,0.0,0.0,50.0,50.0,33.3,16.7,0.0,33.3,0.0,33.3,33.3,-33.3
32,K. Tillie - J. Konchar - X. Tillman - D. Bane - S. Aldama,MEM,1,59.7,140.0,60.0,140.0,42.9,20.0,60.0,33.3,0.0,0.0,0.0,40.0,0.0,40.0,40.0,20.0,20.0,0.0,40.0,20.0,0.0,-20.0
33,D. Brooks - J. Jackson Jr. - J. Morant - B. Clarke - Z. Williams,MEM,1,59.2,250.0,100.0,100.0,100,50.0,50.0,100,0.0,0.0,0.0,0.0,50.0,50.0,100.0,0.0,0.0,50.0,0.0,0.0,50.0,250.0
34,T. Jones - D. Brooks - J. Jackson Jr. - K. Tillie - X. Tillman,MEM,1,59.0,90.0,40.0,70.0,57.1,10.0,20.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,30.0,40.0,10.0,0.0,0.0,50.0,30.0,30.0
35,J. Jackson Jr. - B. Clarke - K. Tillie - J. Konchar - D. Bane,MEM,1,58.6,136.4,54.5,109.1,50.0,9.1,27.3,33.3,18.2,18.2,100,18.2,36.4,54.5,45.5,9.1,0.0,27.3,9.1,54.5,18.2,18.2
36,K. Anderson - T. Jones - B. Clarke - J. Konchar - X. Tillman,MEM,1,58.3,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,100.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,-150.0
37,T. Jones - B. Clarke - K. Tillie - X. Sneed - S. Aldama,MEM,1,58.3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-100.0
38,T. Jones - J. Jackson Jr. - D. Melton - J. Konchar - X. Tillman,MEM,1,58.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,-300.0
39,S. Adams - T. Jones - J. Culver - K. Tillie - J. Konchar,MEM,1,57.8,66.7,33.3,66.7,50.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,33.3,33.3,0.0,33.3,0.0,0.0,0.0,0.0,0.0,-100.0
40,S. Adams - J. Morant - J. Konchar - Z. Williams - S. Aldama,MEM,1,57.4,71.4,28.6,85.7,33.3,0.0,28.6,0.0,14.3,28.6,50.0,14.3,28.6,42.9,14.3,14.3,0.0,0.0,0.0,42.9,28.6,-28.6
41,S. Adams - D. Brooks - J. Jackson Jr. - D. Melton - D. Bane,MEM,1,56.7,125.0,50.0,137.5,36.4,12.5,25.0,50.0,12.5,25.0,50.0,50.0,25.0,75.0,37.5,12.5,25.0,0.0,12.5,0.0,25.0,50.0
42,T. Jones - J. Jackson Jr. - J. Konchar - X. Tillman - Z. Williams,MEM,2,56.7,140.0,60.0,120.0,50.0,20.0,40.0,50.0,0.0,0.0,0.0,20.0,60.0,80.0,40.0,20.0,20.0,0.0,40.0,20.0,0.0,140.0
