,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,K. Lowry - D. Dedmon - C. Martin - M. Strus - N. Jovic,MIA,1,93.3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-300.0
2,K. Love - C. Martin - G. Vincent - M. Strus - T. Herro,MIA,1,90.0,300.0,100.0,100.0,100,0.0,0.0,0.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-200.0
3,K. Lowry - K. Love - J. Butler - G. Vincent - O. Yurtseven,MIA,1,90.0,200.0,100.0,200.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0
4,K. Love - J. Butler - V. Oladipo - C. Martin - T. Herro,MIA,1,87.8,200.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,100,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,200.0
5,J. Butler - C. Zeller - V. Oladipo - C. Martin - T. Herro,MIA,1,82.2,150.0,50.0,125.0,40.0,50.0,75.0,66.7,0.0,0.0,0.0,25.0,25.0,50.0,50.0,0.0,0.0,0.0,0.0,25.0,0.0,50.0
6,J. Butler - C. Martin - H. Highsmith - M. Strus - T. Herro,MIA,1,80.6,66.7,33.3,133.3,25.0,0.0,66.7,0.0,0.0,0.0,0.0,33.3,0.0,33.3,33.3,0.0,0.0,33.3,0.0,0.0,0.0,-133.3
7,J. Butler - V. Oladipo - C. Martin - H. Highsmith - M. Strus,MIA,1,73.3,100.0,50.0,150.0,33.3,0.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
8,J. Butler - V. Oladipo - C. Martin - T. Herro - O. Robinson,MIA,1,72.8,100.0,33.3,100.0,33.3,33.3,100.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,33.3,0.0,0.0,33.3,0.0,-133.3
9,K. Lowry - D. Dedmon - C. Martin - D. Robinson - T. Herro,MIA,1,69.1,150.0,75.0,100.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,75.0,0.0,0.0,0.0,0.0,25.0,0.0,-150.0
10,D. Dedmon - H. Highsmith - T. Herro - D. Smith - J. Cain,MIA,1,66.3,50.0,25.0,75.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,75.0,25.0,50.0,0.0,0.0,0.0,75.0,25.0,-50.0
11,K. Lowry - J. Butler - D. Dedmon - G. Vincent - J. Cain,MIA,1,65.8,250.0,100.0,100.0,100,50.0,50.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,50.0
12,C. Martin - D. Robinson - H. Highsmith - O. Robinson - J. Bouyea,MIA,1,65.0,0.0,0.0,200.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,K. Lowry - H. Highsmith - M. Strus - T. Herro - O. Robinson,MIA,1,64.2,150.0,50.0,75.0,66.7,25.0,50.0,50.0,25.0,50.0,50.0,25.0,25.0,50.0,25.0,25.0,0.0,0.0,0.0,0.0,25.0,-50.0
14,K. Lowry - J. Butler - G. Vincent - M. Strus - N. Jovic,MIA,2,62.2,166.7,50.0,83.3,60.0,50.0,66.7,75.0,16.7,33.3,50.0,0.0,0.0,0.0,16.7,0.0,16.7,0.0,0.0,33.3,33.3,0.0
15,J. Butler - V. Oladipo - B. Adebayo - G. Vincent - J. Cain,MIA,1,61.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-300.0
16,K. Lowry - C. Martin - M. Strus - T. Herro - O. Robinson,MIA,1,61.4,66.7,33.3,200.0,16.7,0.0,66.7,0.0,0.0,0.0,0.0,66.7,33.3,100.0,0.0,0.0,16.7,16.7,33.3,16.7,33.3,0.0
17,J. Butler - D. Dedmon - V. Oladipo - H. Highsmith - M. Strus,MIA,1,61.3,150.0,75.0,75.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,25.0,25.0,0.0,0.0,0.0,-25.0
18,J. Butler - V. Oladipo - B. Adebayo - M. Strus - J. Cain,MIA,1,61.3,175.0,50.0,125.0,40.0,25.0,50.0,50.0,50.0,50.0,100,25.0,25.0,50.0,25.0,0.0,25.0,0.0,0.0,25.0,25.0,75.0
19,K. Lowry - C. Martin - M. Strus - N. Jovic - O. Robinson,MIA,1,61.1,100.0,33.3,33.3,100,33.3,33.3,100,0.0,0.0,0.0,0.0,33.3,33.3,0.0,66.7,0.0,0.0,0.0,0.0,33.3,0.0
20,J. Butler - D. Dedmon - V. Oladipo - M. Strus - D. Smith,MIA,1,60.0,100.0,50.0,100.0,50.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,-100.0
21,J. Butler - V. Oladipo - C. Martin - G. Vincent - M. Strus,MIA,1,60.0,0.0,0.0,100.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,33.3,33.3,0.0,0.0,0.0,0.0,33.3,66.7,33.3,-166.7
22,U. Haslem - J. Butler - C. Martin - G. Vincent - M. Strus,MIA,1,60.0,300.0,100.0,100.0,100,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,200.0,0.0,300.0
23,U. Haslem - K. Lowry - B. Adebayo - M. Strus - T. Herro,MIA,1,60.0,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
24,V. Oladipo - G. Vincent - H. Highsmith - M. Strus - O. Robinson,MIA,2,59.2,71.4,28.6,114.3,25.0,14.3,42.9,33.3,0.0,0.0,0.0,42.9,42.9,85.7,14.3,28.6,0.0,0.0,0.0,14.3,14.3,-57.1
25,K. Lowry - D. Dedmon - C. Martin - H. Highsmith - D. Smith,MIA,1,58.9,166.7,66.7,66.7,100,0.0,0.0,0.0,33.3,33.3,100,0.0,33.3,33.3,66.7,33.3,33.3,33.3,0.0,33.3,33.3,33.3
26,J. Butler - D. Robinson - G. Vincent - M. Strus - N. Jovic,MIA,2,58.5,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-250.0
27,B. Adebayo - C. Martin - M. Strus - T. Herro - D. Smith,MIA,2,58.3,66.7,33.3,66.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,33.3,0.0,33.3,0.0,0.0,0.0,-33.3
28,K. Lowry - B. Adebayo - H. Highsmith - N. Jovic - J. Cain,MIA,1,58.3,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,200.0
29,K. Lowry - D. Dedmon - V. Oladipo - H. Highsmith - M. Strus,MIA,1,58.3,150.0,50.0,100.0,50.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,150.0
30,K. Love - J. Butler - C. Zeller - C. Martin - T. Herro,MIA,1,58.2,66.7,0.0,100.0,0.0,0.0,100.0,0.0,66.7,66.7,100,66.7,0.0,66.7,0.0,33.3,0.0,0.0,0.0,0.0,33.3,-166.7
31,G. Vincent - H. Highsmith - M. Strus - O. Robinson - J. Bouyea,MIA,1,58.1,100.0,50.0,116.7,42.9,0.0,33.3,0.0,0.0,0.0,0.0,33.3,66.7,100.0,33.3,16.7,0.0,0.0,0.0,0.0,0.0,33.3
32,K. Lowry - V. Oladipo - D. Robinson - H. Highsmith - N. Jovic,MIA,1,57.5,100.0,50.0,150.0,33.3,0.0,100.0,0.0,0.0,0.0,0.0,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0
33,K. Love - J. Butler - C. Zeller - V. Oladipo - T. Herro,MIA,3,57.3,150.0,37.5,50.0,75.0,12.5,25.0,50.0,62.5,75.0,83.3,12.5,37.5,50.0,25.0,25.0,0.0,0.0,0.0,0.0,37.5,50.0
34,K. Lowry - V. Oladipo - T. Herro - O. Robinson - J. Cain,MIA,1,57.2,66.7,33.3,100.0,33.3,0.0,66.7,0.0,0.0,33.3,0.0,33.3,33.3,66.7,0.0,33.3,0.0,0.0,0.0,33.3,33.3,-133.3
35,G. Vincent - H. Highsmith - M. Strus - T. Herro - O. Robinson,MIA,2,57.1,125.0,25.0,100.0,25.0,0.0,50.0,0.0,75.0,75.0,100,25.0,50.0,75.0,0.0,0.0,25.0,0.0,0.0,25.0,75.0,125.0
36,D. Robinson - G. Vincent - H. Highsmith - T. Herro - O. Robinson,MIA,1,56.7,133.3,66.7,100.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,33.3,0.0,33.3,0.0,0.0,0.0,0.0,0.0,-133.3
37,K. Lowry - B. Adebayo - C. Martin - G. Vincent - N. Jovic,MIA,1,56.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,U. Haslem - D. Robinson - H. Highsmith - D. Smith - N. Jovic,MIA,1,56.7,50.0,25.0,75.0,33.3,0.0,25.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,25.0,25.0,25.0,25.0,0.0,25.0,0.0,-25.0
39,J. Butler - H. Highsmith - M. Strus - O. Robinson - J. Bouyea,MIA,1,56.5,125.0,41.7,91.7,45.5,25.0,66.7,37.5,16.7,16.7,100,0.0,33.3,33.3,41.7,8.3,0.0,8.3,0.0,8.3,16.7,-25.0
40,C. Zeller - V. Oladipo - C. Martin - D. Robinson - T. Herro,MIA,1,56.4,142.9,50.0,107.1,46.7,28.6,71.4,40.0,14.3,14.3,100,21.4,14.3,35.7,14.3,14.3,0.0,0.0,7.1,7.1,28.6,21.4
41,K. Lowry - C. Zeller - C. Martin - M. Strus - T. Herro,MIA,1,56.3,100.0,36.4,63.6,57.1,9.1,18.2,50.0,18.2,18.2,100,9.1,27.3,36.4,18.2,36.4,9.1,9.1,9.1,27.3,18.2,-54.5
42,K. Love - J. Butler - C. Zeller - V. Oladipo - M. Strus,MIA,2,56.0,160.0,60.0,80.0,75.0,20.0,40.0,50.0,20.0,60.0,33.3,0.0,60.0,60.0,60.0,0.0,20.0,0.0,0.0,40.0,40.0,140.0
43,K. Lowry - J. Butler - D. Dedmon - V. Oladipo - M. Strus,MIA,3,55.8,125.0,62.5,100.0,62.5,0.0,37.5,0.0,0.0,0.0,0.0,0.0,12.5,12.5,50.0,0.0,12.5,0.0,0.0,25.0,12.5,0.0
44,K. Lowry - K. Love - C. Martin - G. Vincent - M. Strus,MIA,1,55.8,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,-100.0
45,D. Dedmon - C. Martin - H. Highsmith - N. Jovic - J. Cain,MIA,1,55.6,100.0,33.3,100.0,33.3,33.3,100.0,33.3,0.0,0.0,0.0,0.0,33.3,33.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,-33.3
