,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,J. Terry - J. Henson - T. Snell - G. Antetokounmpo - S. Brown,MIL,2,118.3,200.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,100.0,-100.0
2,J. Terry - B. Jennings - S. Muhammad - J. Parker - T. Maker,MIL,1,115.0,0.0,0.0,200.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-200.0
3,E. Bledsoe - S. Muhammad - T. Snell - G. Antetokounmpo - T. Maker,MIL,1,86.7,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
4,J. Terry - K. Middleton - T. Snell - G. Antetokounmpo - S. Brown,MIL,1,86.7,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,200.0
5,E. Bledsoe - G. Antetokounmpo - S. Kilpatrick - T. Maker - S. Brown,MIL,1,80.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-100.0
6,M. Teletovic - T. Snell - G. Antetokounmpo - R. Vaughn - M. Brogdon,MIL,1,80.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.0
7,K. Middleton - T. Snell - M. Dellavedova - R. Vaughn - T. Maker,MIL,1,72.1,100.0,50.0,125.0,40.0,0.0,25.0,0.0,0.0,0.0,0.0,50.0,25.0,75.0,50.0,25.0,0.0,25.0,0.0,25.0,25.0,-150.0
8,E. Bledsoe - J. Henson - K. Middleton - S. Muhammad - J. Parker,MIL,1,71.7,200.0,0.0,100.0,0.0,0.0,0.0,0.0,200.0,200.0,100,100.0,100.0,200.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
9,J. Terry - B. Jennings - T. Zeller - T. Snell - J. Parker,MIL,1,71.7,300.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0
10,J. Terry - T. Zeller - K. Middleton - G. Antetokounmpo - S. Kilpatrick,MIL,1,71.7,200.0,100.0,200.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,200.0
11,J. Terry - J. Henson - T. Snell - G. Antetokounmpo - S. Kilpatrick,MIL,1,70.8,150.0,50.0,100.0,50.0,50.0,50.0,100,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
12,J. Henson - K. Middleton - T. Snell - G. Antetokounmpo - G. Payton II,MIL,1,70.0,100.0,50.0,50.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,100.0,0.0,-100.0
13,J. Terry - K. Middleton - S. Kilpatrick - T. Maker - S. Brown,MIL,1,70.0,0.0,0.0,200.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,J. Henson - T. Snell - G. Antetokounmpo - J. Parker - S. Brown,MIL,1,68.3,250.0,100.0,100.0,100,50.0,50.0,100,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
