,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,D. Milicic - M. Ager - M. Beasley - N. Pekovic - W. Johnson,MIN,1,103.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,-200.0
2,S. Telfair - C. Brewer - N. Pekovic - W. Ellington - W. Johnson,MIN,1,101.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-100.0
3,A. Tolliver - M. Beasley - A. Randolph - J. Flynn - W. Johnson,MIN,1,90.0,200.0,100.0,200.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.0
4,L. Ridnour - M. Beasley - A. Randolph - W. Johnson - L. Hayward,MIN,1,80.8,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-300.0
5,L. Ridnour - M. Webster - A. Tolliver - A. Randolph - L. Hayward,MIN,1,80.0,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,200.0
6,L. Ridnour - A. Tolliver - A. Randolph - W. Johnson - L. Hayward,MIN,1,72.8,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.0
7,M. Ager - C. Brewer - A. Tolliver - K. Love - L. Hayward,MIN,1,72.1,50.0,25.0,75.0,33.3,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,50.0,25.0,0.0,0.0,75.0,25.0,-75.0
8,K. Love - K. Koufos - J. Flynn - W. Ellington - L. Hayward,MIN,1,71.7,100.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,-100.0
9,S. Telfair - N. Pekovic - W. Ellington - S. Gaines - L. Hayward,MIN,1,71.7,100.0,50.0,100.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
10,S. Telfair - K. Koufos - N. Pekovic - W. Ellington - W. Johnson,MIN,1,66.7,100.0,25.0,50.0,50.0,0.0,0.0,0.0,50.0,50.0,100,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,50.0,50.0,-125.0
11,S. Telfair - A. Tolliver - K. Koufos - W. Ellington - W. Johnson,MIN,1,65.8,175.0,50.0,125.0,40.0,25.0,25.0,100,50.0,50.0,100,50.0,25.0,75.0,25.0,0.0,0.0,0.0,25.0,25.0,25.0,75.0
12,S. Telfair - M. Webster - A. Tolliver - K. Love - W. Johnson,MIN,1,65.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0
13,S. Telfair - M. Webster - K. Koufos - W. Ellington - W. Johnson,MIN,1,63.5,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
14,D. Milicic - A. Tolliver - M. Beasley - A. Randolph - J. Flynn,MIN,1,63.3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-100.0
15,A. Tolliver - N. Pekovic - J. Flynn - W. Ellington - W. Johnson,MIN,1,62.8,100.0,33.3,100.0,33.3,0.0,66.7,0.0,33.3,33.3,100,0.0,33.3,33.3,33.3,0.0,0.0,0.0,0.0,0.0,33.3,33.3
16,C. Brewer - N. Pekovic - W. Ellington - S. Gaines - L. Hayward,MIN,1,60.6,33.3,16.7,116.7,14.3,0.0,33.3,0.0,0.0,0.0,0.0,50.0,33.3,83.3,0.0,33.3,0.0,16.7,33.3,16.7,0.0,-150.0
17,M. Beasley - K. Love - A. Randolph - J. Flynn - L. Hayward,MIN,1,60.3,100.0,40.0,100.0,40.0,20.0,40.0,50.0,0.0,0.0,0.0,20.0,20.0,40.0,20.0,20.0,0.0,20.0,0.0,20.0,20.0,-100.0
18,S. Telfair - M. Webster - M. Beasley - K. Love - K. Koufos,MIN,1,60.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,-100.0
19,L. Ridnour - M. Webster - A. Tolliver - N. Pekovic - W. Ellington,MIN,2,59.9,123.1,46.2,84.6,54.5,0.0,7.7,0.0,30.8,38.5,80.0,23.1,46.2,69.2,7.7,15.4,7.7,0.0,0.0,23.1,38.5,76.9
20,C. Brewer - A. Tolliver - K. Koufos - J. Flynn - L. Hayward,MIN,1,59.4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,33.3,0.0,33.3,0.0,0.0,0.0,0.0,33.3,-66.7
21,M. Beasley - K. Love - K. Koufos - J. Flynn - W. Johnson,MIN,1,59.2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,-200.0
22,L. Ridnour - K. Love - A. Randolph - W. Johnson - L. Hayward,MIN,1,59.1,100.0,33.3,66.7,50.0,0.0,33.3,0.0,33.3,66.7,50.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,33.3,-66.7
23,S. Telfair - M. Webster - K. Koufos - W. Johnson - L. Hayward,MIN,1,59.0,80.0,40.0,120.0,33.3,0.0,20.0,0.0,0.0,20.0,0.0,20.0,20.0,40.0,20.0,0.0,0.0,0.0,20.0,20.0,40.0,0.0
