,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,M. Belinelli - J. Smith - E. Gordon - A. Aminu - L. Thomas,NOH,1,103.3,300.0,100.0,100.0,100,0.0,0.0,0.0,100.0,200.0,50.0,100.0,100.0,200.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,300.0
2,M. Belinelli - J. Smith - E. Gordon - A. Aminu - G. Ayon,NOH,1,93.3,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
3,E. Okafor - T. Ariza - J. Jack - J. Smith - C. Johnson,NOH,1,90.0,150.0,50.0,150.0,33.3,50.0,150.0,33.3,0.0,0.0,0.0,50.0,100.0,150.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0
4,M. Belinelli - A. Aminu - J. Dyson - L. Thomas - G. Ayon,NOH,1,90.0,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,-200.0
5,C. Kaman - J. Smith - E. Gordon - X. Henry - G. Vasquez,NOH,1,85.8,200.0,100.0,150.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,-50.0
6,T. Ariza - C. Landry - X. Henry - G. Vasquez - C. Johnson,NOH,1,84.2,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,200.0,50.0,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-50.0
7,E. Okafor - J. Jack - C. Landry - T. Johnson - C. Johnson,NOH,1,83.3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-100.0
8,C. Kaman - J. Jack - C. Landry - C. Johnson - D. Summers,NOH,1,80.0,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,300.0,0.0,100.0
9,M. Belinelli - A. Aminu - D. Sloan - L. Thomas - G. Ayon,NOH,1,80.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,C. Kaman - T. Ariza - J. Jack - A. Aminu - G. Vasquez,NOH,2,74.4,157.1,71.4,114.3,62.5,14.3,14.3,100,0.0,0.0,0.0,14.3,71.4,85.7,71.4,0.0,0.0,0.0,0.0,14.3,0.0,100.0
11,J. Smith - C. Landry - C. Johnson - A. Aminu - G. Vasquez,NOH,1,73.9,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,66.7,0.0,33.3,0.0,0.0,0.0,33.3,33.3,0.0
12,E. Okafor - T. Ariza - M. Belinelli - A. Aminu - D. Sloan,NOH,1,73.3,250.0,100.0,100.0,100,0.0,0.0,0.0,50.0,50.0,100,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,150.0
13,J. Jack - M. Belinelli - G. Vasquez - C. Johnson - L. Thomas,NOH,1,73.3,100.0,50.0,150.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-150.0
14,M. Belinelli - J. Smith - C. Landry - X. Henry - L. Thomas,NOH,1,73.3,233.3,100.0,133.3,75.0,33.3,33.3,100,0.0,0.0,0.0,33.3,33.3,66.7,100.0,0.0,0.0,0.0,0.0,33.3,0.0,133.3
15,J. Jack - A. Aminu - X. Henry - G. Vasquez - L. Thomas,NOH,1,73.0,140.0,40.0,140.0,28.6,20.0,40.0,50.0,40.0,40.0,100,80.0,20.0,100.0,20.0,20.0,0.0,0.0,0.0,20.0,20.0,-80.0
16,C. Kaman - J. Jack - M. Belinelli - X. Henry - G. Vasquez,NOH,1,72.2,66.7,33.3,66.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,33.3,0.0,0.0,33.3,0.0,0.0,-200.0
17,S. Jones - M. Belinelli - A. Aminu - G. Vasquez - L. Thomas,NOH,1,72.1,100.0,50.0,75.0,66.7,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,50.0,25.0,0.0,0.0,0.0,25.0,0.0,-75.0
18,T. Ariza - J. Jack - A. Aminu - G. Vasquez - L. Thomas,NOH,1,71.2,75.0,25.0,75.0,33.3,0.0,0.0,0.0,25.0,25.0,100,0.0,75.0,75.0,25.0,25.0,25.0,0.0,25.0,75.0,25.0,0.0
19,D. Watkins - A. Aminu - G. Vasquez - J. Dyson - G. Ayon,NOH,1,71.1,133.3,66.7,133.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,33.3,100.0,66.7,33.3,0.0,0.0,0.0,33.3,0.0,0.0
20,C. Kaman - M. Belinelli - J. Smith - E. Gordon - A. Aminu,NOH,1,70.0,190.0,80.0,100.0,80.0,20.0,30.0,66.7,10.0,40.0,25.0,20.0,40.0,60.0,30.0,10.0,10.0,10.0,0.0,0.0,50.0,110.0
21,M. Belinelli - D. Watkins - X. Henry - J. Dyson - L. Thomas,NOH,1,69.2,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,50.0,0.0,0.0,0.0,150.0,0.0,-150.0
22,J. Jack - S. Jones - X. Henry - G. Vasquez - L. Thomas,NOH,2,68.8,100.0,0.0,33.3,0.0,0.0,16.7,0.0,100.0,100.0,100,0.0,50.0,50.0,0.0,16.7,16.7,0.0,0.0,16.7,50.0,16.7
23,M. Belinelli - C. Landry - C. Johnson - G. Vasquez - G. Ayon,NOH,1,68.5,200.0,100.0,200.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,T. Ariza - A. Aminu - X. Henry - G. Vasquez - J. Foote,NOH,1,68.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
25,C. Landry - D. Summers - X. Henry - G. Vasquez - G. Ayon,NOH,1,67.3,80.0,40.0,80.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,40.0,0.0,40.0,20.0,0.0,40.0,40.0,0.0,-80.0
26,C. Kaman - A. Aminu - X. Henry - G. Vasquez - G. Ayon,NOH,2,66.9,114.3,42.9,114.3,37.5,14.3,28.6,50.0,14.3,14.3,100,14.3,57.1,71.4,42.9,14.3,0.0,0.0,0.0,28.6,28.6,28.6
27,E. Okafor - T. Ariza - X. Henry - G. Vasquez - L. Thomas,NOH,1,66.3,125.0,50.0,100.0,50.0,0.0,0.0,0.0,25.0,75.0,33.3,25.0,25.0,50.0,0.0,25.0,0.0,0.0,25.0,50.0,50.0,-125.0
28,M. Belinelli - J. Smith - D. Watkins - X. Henry - G. Vasquez,NOH,1,66.1,33.3,16.7,50.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,16.7,0.0,50.0,0.0,0.0,16.7,16.7,0.0,-200.0
29,T. Ariza - S. Jones - M. Belinelli - G. Vasquez - L. Thomas,NOH,2,66.0,114.3,42.9,100.0,42.9,28.6,42.9,66.7,0.0,28.6,0.0,42.9,0.0,42.9,42.9,28.6,0.0,0.0,0.0,57.1,14.3,-142.9
30,J. Jack - X. Henry - G. Vasquez - L. Thomas - G. Ayon,NOH,1,65.7,50.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,-150.0
31,J. Jack - M. Belinelli - A. Aminu - G. Vasquez - J. Foote,NOH,1,65.6,166.7,66.7,133.3,50.0,33.3,33.3,100,0.0,0.0,0.0,0.0,66.7,66.7,66.7,0.0,0.0,33.3,33.3,33.3,33.3,33.3
32,C. Kaman - J. Jack - C. Landry - T. Johnson - G. Vasquez,NOH,1,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,-200.0
33,E. Okafor - T. Ariza - J. Jack - C. Landry - A. Aminu,NOH,2,65.0,54.5,27.3,100.0,27.3,0.0,18.2,0.0,0.0,9.1,0.0,0.0,27.3,27.3,18.2,0.0,0.0,0.0,0.0,45.5,18.2,-136.4
34,C. Kaman - J. Jack - J. Smith - X. Henry - G. Vasquez,NOH,1,64.8,114.3,57.1,85.7,66.7,0.0,0.0,0.0,0.0,14.3,0.0,0.0,71.4,71.4,57.1,14.3,0.0,0.0,0.0,28.6,42.9,28.6
35,C. Kaman - J. Jack - M. Belinelli - J. Smith - C. Landry,NOH,1,64.2,150.0,50.0,100.0,50.0,0.0,0.0,0.0,50.0,50.0,100,0.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,50.0,0.0,0.0
36,M. Belinelli - C. Landry - G. Vasquez - C. Johnson - L. Thomas,NOH,1,64.0,166.7,66.7,100.0,66.7,33.3,33.3,100,0.0,0.0,0.0,0.0,33.3,33.3,66.7,0.0,0.0,0.0,0.0,33.3,0.0,0.0
