,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,C. Billups - A. Carter - C. Anthony - R. Turiaf - T. Douglas,NYK,1,131.7,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,-300.0
2,R. Felton - R. Turiaf - D. Gallinari - H. Walker - T. Douglas,NYK,1,120.5,300.0,100.0,200.0,50.0,100.0,200.0,50.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,200.0
3,A. Stoudemire - C. Anthony - T. Douglas - D. Brown - L. Fields,NYK,1,91.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.0
4,A. Stoudemire - R. Mason Jr. - R. Felton - S. Williams - D. Gallinari,NYK,1,91.7,200.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,-200.0
5,R. Mason Jr. - C. Anthony - S. Williams - T. Douglas - L. Fields,NYK,1,91.7,0.0,0.0,200.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.0
6,A. Carter - J. Jeffries - S. Williams - S. Williams - H. Walker,NYK,1,83.3,200.0,0.0,200.0,0.0,0.0,100.0,0.0,200.0,200.0,100,200.0,0.0,200.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
7,J. Jeffries - R. Mason Jr. - R. Turiaf - S. Williams - T. Douglas,NYK,1,83.3,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,200.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
8,A. Stoudemire - C. Anthony - S. Williams - T. Douglas - L. Fields,NYK,1,81.8,0.0,0.0,200.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,-400.0
9,A. Stoudemire - R. Turiaf - S. Williams - D. Gallinari - T. Douglas,NYK,1,71.3,40.0,20.0,100.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,40.0,60.0,0.0,40.0,0.0,40.0,0.0,40.0,60.0,-40.0
10,R. Mason Jr. - A. Randolph - T. Douglas - L. Fields - T. Mozgov,NYK,1,68.3,150.0,50.0,100.0,50.0,50.0,50.0,100,0.0,50.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0
