,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,N. Collison - R. Swift - D. Wilkins - T. Sefolosha - R. Westbrook,OKC,1,109.2,200.0,100.0,250.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,100.0
2,D. Mason - E. Watson - D. Wilkins - J. Green - R. Westbrook,OKC,1,103.3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
3,E. Watson - N. Collison - D. Wilkins - J. Petro - K. Durant,OKC,1,102.2,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,-200.0
4,E. Watson - C. Wilcox - N. Krstic - R. Westbrook - K. Weaver,OKC,1,91.7,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
5,E. Watson - C. Wilcox - N. Collison - K. Durant - K. Weaver,OKC,1,80.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,-200.0
6,C. Atkins - N. Krstic - K. Durant - J. Green - R. Westbrook,OKC,2,77.9,150.0,50.0,75.0,66.7,0.0,0.0,0.0,50.0,75.0,66.7,0.0,25.0,25.0,50.0,25.0,0.0,25.0,0.0,25.0,50.0,0.0
7,D. Mason - C. Wilcox - D. Wilkins - J. Green - R. Westbrook,OKC,1,76.7,100.0,50.0,50.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,50.0,0.0,-100.0
8,J. Smith - R. Swift - K. Durant - J. Green - R. Westbrook,OKC,1,69.2,100.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,-100.0
9,J. Smith - E. Watson - C. Wilcox - D. Wilkins - J. Green,OKC,2,69.0,80.0,40.0,120.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,60.0,40.0,0.0,0.0,0.0,20.0,60.0,40.0,-40.0
10,C. Atkins - N. Krstic - J. Green - R. Westbrook - K. Weaver,OKC,1,68.3,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
11,D. Mason - E. Watson - N. Collison - K. Durant - K. Weaver,OKC,1,68.3,0.0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,50.0,150.0,0.0,-100.0
12,M. Rose - C. Atkins - N. Collison - S. Livingston - R. Westbrook,OKC,1,68.3,100.0,33.3,66.7,50.0,33.3,66.7,50.0,0.0,0.0,0.0,0.0,33.3,33.3,33.3,33.3,0.0,0.0,0.0,33.3,33.3,100.0
13,M. Rose - C. Atkins - E. Watson - N. Krstic - D. Wilkins,OKC,1,68.1,133.3,55.6,88.9,62.5,11.1,11.1,100,11.1,11.1,100,0.0,44.4,44.4,33.3,0.0,0.0,0.0,0.0,33.3,11.1,77.8
14,E. Watson - C. Wilcox - N. Collison - D. Wilkins - K. Durant,OKC,1,66.3,50.0,25.0,125.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,25.0,25.0,25.0,-175.0
15,J. Smith - N. Krstic - K. Durant - J. Green - R. Westbrook,OKC,1,66.1,66.7,33.3,133.3,25.0,0.0,33.3,0.0,0.0,0.0,0.0,33.3,0.0,33.3,0.0,0.0,0.0,0.0,0.0,66.7,33.3,-100.0
16,E. Watson - N. Krstic - S. Livingston - D. White - K. Weaver,OKC,1,65.8,100.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0
17,E. Watson - N. Collison - R. Swift - J. Green - K. Weaver,OKC,1,65.0,133.3,33.3,66.7,50.0,0.0,0.0,0.0,66.7,100.0,66.7,33.3,33.3,66.7,0.0,33.3,0.0,0.0,33.3,0.0,100.0,33.3
18,M. Rose - C. Atkins - N. Collison - S. Livingston - K. Durant,OKC,1,63.3,100.0,25.0,100.0,25.0,0.0,0.0,0.0,50.0,50.0,100,50.0,25.0,75.0,0.0,25.0,0.0,0.0,0.0,0.0,50.0,50.0
19,J. Smith - N. Krstic - K. Durant - R. Westbrook - K. Weaver,OKC,1,62.5,100.0,50.0,50.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,-100.0
20,M. Rose - E. Watson - R. Swift - D. Wilkins - R. Westbrook,OKC,2,62.5,125.0,50.0,50.0,100,0.0,0.0,0.0,25.0,62.5,40.0,0.0,12.5,12.5,25.0,25.0,0.0,0.0,0.0,62.5,50.0,-50.0
21,C. Atkins - N. Collison - T. Sefolosha - J. Green - K. Weaver,OKC,2,61.9,128.6,57.1,85.7,66.7,14.3,28.6,50.0,0.0,0.0,0.0,0.0,57.1,57.1,42.9,0.0,28.6,14.3,0.0,14.3,14.3,71.4
22,J. Smith - D. Mason - R. Swift - D. Wilkins - R. Westbrook,OKC,1,61.7,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-300.0
23,M. Rose - E. Watson - N. Krstic - D. Wilkins - K. Weaver,OKC,2,61.7,128.6,42.9,71.4,60.0,14.3,28.6,50.0,28.6,28.6,100,14.3,14.3,28.6,14.3,14.3,14.3,14.3,14.3,28.6,28.6,42.9
