,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,B. Cook - K. Bogans - M. Gortat - J. Richardson - C. Lee,ORL,1,118.3,200.0,100.0,200.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,R. Lewis - H. Turkoglu - M. Gortat - J. Richardson - C. Lee,ORL,1,81.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
3,A. Foyle - R. Lewis - M. Pietrus - J. Nelson - J. Redick,ORL,1,75.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,-200.0
4,T. Battie - R. Lewis - M. Pietrus - J. Nelson - J. Redick,ORL,1,73.3,400.0,100.0,100.0,100,100.0,100.0,100,100.0,100.0,100,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,400.0
5,A. Johnson - R. Lewis - M. Pietrus - K. Bogans - M. Gortat,ORL,3,72.2,75.0,25.0,100.0,25.0,25.0,50.0,50.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0,25.0,0.0,0.0,25.0,50.0,75.0
6,A. Johnson - H. Turkoglu - B. Cook - K. Bogans - M. Gortat,ORL,1,70.0,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
7,T. Lue - R. Lewis - H. Turkoglu - M. Gortat - J. Redick,ORL,1,68.3,0.0,0.0,200.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.0
8,T. Battie - R. Lewis - R. Alston - D. Howard - J. Redick,ORL,1,64.7,133.3,50.0,83.3,60.0,0.0,0.0,0.0,33.3,33.3,100,0.0,50.0,50.0,16.7,0.0,0.0,0.0,16.7,0.0,16.7,50.0
9,A. Foyle - A. Johnson - M. Gortat - J. Richardson - C. Lee,ORL,1,64.6,133.3,66.7,133.3,50.0,0.0,33.3,0.0,0.0,0.0,0.0,66.7,66.7,133.3,33.3,33.3,0.0,33.3,0.0,33.3,0.0,66.7
10,R. Lewis - B. Cook - J. Nelson - M. Gortat - J. Redick,ORL,1,64.2,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,-150.0
