,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,D. Augustin - E. Fournier - K. Birch - A. Gordon - J. Martin,ORL,1,120.0,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,N. Vucevic - E. Fournier - M. Carter-Williams - A. Gordon - J. Isaac,ORL,2,65.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,-400.0
3,T. Ross - J. Simmons - A. Gordon - J. Grant - J. Isaac,ORL,1,64.4,233.3,100.0,166.7,60.0,33.3,33.3,100,0.0,0.0,0.0,66.7,0.0,66.7,66.7,0.0,0.0,0.0,0.0,33.3,0.0,-33.3
4,N. Vucevic - T. Ross - E. Fournier - J. Isaac - I. Briscoe,ORL,3,62.3,120.0,40.0,60.0,66.7,0.0,20.0,0.0,40.0,40.0,100,0.0,40.0,40.0,40.0,20.0,0.0,20.0,0.0,20.0,40.0,0.0
5,D. Augustin - T. Ross - A. Gordon - W. Iwundu - M. Bamba,ORL,1,60.6,183.3,50.0,50.0,100,16.7,16.7,100,66.7,66.7,100,0.0,50.0,50.0,33.3,16.7,0.0,16.7,0.0,33.3,50.0,33.3
6,N. Vucevic - T. Ross - J. Simmons - J. Isaac - I. Briscoe,ORL,1,59.2,250.0,100.0,150.0,66.7,0.0,0.0,0.0,50.0,50.0,100,50.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,150.0,0.0
7,D. Augustin - J. Simmons - A. Gordon - J. Isaac - M. Bamba,ORL,1,59.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-300.0
8,D. Augustin - E. Fournier - A. Gordon - W. Iwundu - M. Bamba,ORL,2,57.6,125.0,50.0,112.5,44.4,0.0,25.0,0.0,25.0,25.0,100,12.5,12.5,25.0,37.5,0.0,0.0,0.0,12.5,25.0,50.0,-50.0
9,T. Ross - K. Birch - J. Grant - J. Martin - W. Iwundu,ORL,3,57.3,100.0,37.5,87.5,42.9,25.0,62.5,40.0,0.0,0.0,0.0,0.0,50.0,50.0,37.5,0.0,0.0,0.0,12.5,37.5,12.5,-12.5
10,D. Augustin - T. Ross - J. Martin - W. Iwundu - M. Bamba,ORL,1,57.2,33.3,0.0,66.7,0.0,0.0,0.0,0.0,33.3,66.7,50.0,0.0,33.3,33.3,0.0,0.0,0.0,0.0,0.0,33.3,66.7,-66.7
11,D. Augustin - E. Fournier - A. Gordon - J. Isaac - M. Bamba,ORL,3,56.0,100.0,37.5,83.3,45.0,20.8,41.7,50.0,4.2,8.3,50.0,8.3,25.0,33.3,29.2,16.7,4.2,4.2,0.0,20.8,16.7,-58.3
12,E. Fournier - M. Carter-Williams - K. Birch - A. Gordon - J. Isaac,ORL,1,55.5,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,-200.0
13,T. Ross - A. Gordon - J. Grant - J. Isaac - M. Bamba,ORL,3,55.0,71.4,28.6,100.0,28.6,14.3,50.0,28.6,0.0,0.0,0.0,14.3,21.4,35.7,14.3,14.3,7.1,7.1,7.1,0.0,14.3,7.1
14,T. Ross - J. Simmons - K. Birch - J. Grant - J. Martin,ORL,1,54.8,137.5,50.0,112.5,44.4,37.5,50.0,75.0,0.0,0.0,0.0,25.0,25.0,50.0,25.0,25.0,0.0,0.0,12.5,50.0,12.5,12.5
15,N. Vucevic - A. Gordon - J. Isaac - W. Iwundu - I. Briscoe,ORL,1,54.7,100.0,50.0,133.3,37.5,0.0,33.3,0.0,0.0,0.0,0.0,33.3,33.3,66.7,16.7,0.0,16.7,0.0,33.3,16.7,0.0,33.3
16,D. Augustin - T. Ross - J. Isaac - W. Iwundu - M. Bamba,ORL,2,54.3,29.4,11.8,94.1,12.5,5.9,47.1,12.5,0.0,11.8,0.0,5.9,41.2,47.1,0.0,0.0,5.9,0.0,5.9,23.5,17.6,-47.1
17,J. Martin - W. Iwundu - T. Caupain - I. Briscoe - M. Bamba,ORL,1,54.3,71.4,28.6,71.4,40.0,0.0,14.3,0.0,14.3,14.3,100,0.0,14.3,14.3,14.3,14.3,0.0,0.0,0.0,0.0,14.3,14.3
18,E. Fournier - J. Simmons - J. Grant - J. Martin - M. Bamba,ORL,1,54.2,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,-100.0
19,N. Vucevic - T. Ross - M. Carter-Williams - A. Gordon - J. Isaac,ORL,1,54.2,250.0,100.0,100.0,100,50.0,50.0,100,0.0,0.0,0.0,0.0,100.0,100.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,250.0
20,D. Augustin - N. Vucevic - J. Simmons - J. Isaac - W. Iwundu,ORL,3,53.6,100.0,46.2,92.3,50.0,7.7,15.4,50.0,0.0,0.0,0.0,0.0,38.5,38.5,15.4,7.7,0.0,7.7,0.0,7.7,15.4,7.7
21,K. Birch - J. Martin - T. Caupain - I. Briscoe - A. Jefferson,ORL,1,53.6,185.7,57.1,100.0,57.1,14.3,28.6,50.0,57.1,57.1,100,28.6,14.3,42.9,14.3,0.0,14.3,0.0,0.0,28.6,28.6,85.7
22,D. Augustin - E. Fournier - K. Birch - A. Gordon - W. Iwundu,ORL,1,53.3,120.0,52.0,104.0,50.0,4.0,28.0,14.3,12.0,20.0,60.0,12.0,28.0,40.0,20.0,8.0,8.0,4.0,4.0,12.0,16.0,-8.0
23,T. Ross - E. Fournier - K. Birch - J. Isaac - I. Briscoe,ORL,6,53.3,92.9,33.3,73.8,45.2,11.9,31.0,38.5,14.3,14.3,100,4.8,23.8,28.6,23.8,19.0,2.4,2.4,0.0,28.6,11.9,-40.5
24,D. Augustin - T. Ross - M. Carter-Williams - K. Birch - A. Gordon,ORL,2,53.2,107.7,38.5,92.3,41.7,15.4,46.2,33.3,15.4,30.8,50.0,7.7,53.8,61.5,15.4,7.7,7.7,7.7,0.0,7.7,30.8,61.5
25,D. Augustin - T. Ross - E. Fournier - K. Birch - J. Isaac,ORL,2,52.9,125.0,50.0,100.0,50.0,25.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,25.0,0.0,25.0,0.0,25.0
26,T. Ross - E. Fournier - A. Gordon - I. Briscoe - M. Bamba,ORL,3,52.5,136.1,50.0,88.9,56.3,22.2,36.1,61.5,13.9,19.4,71.4,5.6,27.8,33.3,33.3,5.6,8.3,2.8,2.8,16.7,25.0,25.0
