,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,D. Green - S. Curry - J. Embiid - G. Niang - I. Joe,PHI,1,86.7,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,-400.0
2,T. Harris - M. Powell - C. Bassey - I. Joe - A. Henry,PHI,1,82.5,0.0,0.0,150.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,150.0,0.0,-200.0
3,D. Green - S. Curry - G. Niang - S. Milton - T. Maxey,PHI,1,80.8,50.0,0.0,100.0,0.0,0.0,0.0,0.0,50.0,50.0,100,0.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,100.0,0.0,-200.0
4,A. Drummond - F. Korkmaz - T. Maxey - P. Reed - I. Joe,PHI,1,80.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.0
5,J. Harden - W. Cauley-Stein - T. Maxey - P. Reed - I. Joe,PHI,1,79.3,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-400.0
6,S. Curry - J. Embiid - G. Niang - T. Maxey - I. Joe,PHI,1,78.5,300.0,100.0,100.0,100,100.0,100.0,100,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,300.0
7,D. Green - F. Korkmaz - S. Milton - C. Bassey - T. Maxey,PHI,1,76.2,0.0,0.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,D. Green - T. Harris - A. Drummond - S. Milton - I. Joe,PHI,1,72.5,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,-200.0
9,D. Jordan - D. Green - S. Milton - T. Maxey - P. Reed,PHI,1,71.7,300.0,100.0,100.0,100,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0
10,J. Harden - J. Embiid - G. Niang - F. Korkmaz - S. Milton,PHI,1,71.7,250.0,100.0,100.0,100,50.0,50.0,100,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,50.0,0.0,-50.0
11,T. Harris - S. Curry - G. Niang - M. Thybulle - T. Maxey,PHI,1,71.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,-100.0
12,T. Harris - G. Niang - S. Milton - M. Thybulle - T. Maxey,PHI,1,70.6,66.7,33.3,100.0,33.3,0.0,33.3,0.0,0.0,0.0,0.0,0.0,33.3,33.3,0.0,0.0,0.0,0.0,0.0,33.3,0.0,-133.3
13,D. Green - A. Drummond - S. Curry - M. Thybulle - I. Joe,PHI,1,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0
14,D. Green - F. Korkmaz - S. Milton - T. Maxey - P. Reed,PHI,1,70.0,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,-300.0
15,J. Harden - T. Harris - G. Niang - S. Milton - T. Maxey,PHI,1,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
16,D. Green - A. Drummond - S. Curry - G. Niang - S. Milton,PHI,2,69.2,80.0,40.0,120.0,33.3,0.0,40.0,0.0,0.0,0.0,0.0,20.0,60.0,80.0,20.0,0.0,0.0,0.0,0.0,40.0,20.0,20.0
17,A. Drummond - S. Curry - G. Niang - T. Maxey - I. Joe,PHI,1,68.3,150.0,50.0,150.0,33.3,50.0,150.0,33.3,0.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0
18,D. Green - F. Korkmaz - M. Thybulle - T. Maxey - P. Reed,PHI,1,68.3,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
