,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,C. Anthony - H. Whiteside - C. McCollum - M. Hezonja - A. Simons,POR,2,111.7,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,-300.0
2,D. Lillard - K. Bazemore - R. Hood - M. Hezonja - S. Labissiere,POR,2,89.3,250.0,100.0,100.0,100,50.0,50.0,100,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,50.0,0.0,0.0,50.0,0.0,-50.0
3,C. Anthony - T. Ariza - C. McCollum - M. Hezonja - C. Swanigan,POR,1,76.7,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
4,A. Tolliver - H. Whiteside - K. Bazemore - C. McCollum - A. Simons,POR,1,73.3,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,-300.0
5,C. Anthony - H. Whiteside - D. Lillard - K. Bazemore - R. Hood,POR,1,64.2,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,100.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0
6,C. Anthony - D. Lillard - C. McCollum - M. Hezonja - S. Labissiere,POR,2,63.8,66.7,0.0,0.0,0.0,0.0,0.0,0.0,66.7,66.7,100,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,66.7,66.7,-133.3
7,C. Anthony - K. Bazemore - C. McCollum - M. Hezonja - S. Labissiere,POR,2,63.7,240.0,100.0,120.0,83.3,40.0,40.0,100,0.0,0.0,0.0,20.0,0.0,20.0,60.0,0.0,20.0,0.0,0.0,20.0,0.0,100.0
8,C. Anthony - A. Simons - G. Trent Jr. - N. Little - J. Hoard,POR,1,59.2,100.0,50.0,50.0,100,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,50.0,25.0,25.0,0.0,0.0,0.0,25.0,75.0,25.0
9,C. Anthony - D. Lillard - A. Simons - G. Trent Jr. - W. Gabriel,POR,2,59.1,40.0,20.0,160.0,12.5,0.0,40.0,0.0,0.0,0.0,0.0,60.0,40.0,100.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,-100.0
10,A. Tolliver - C. McCollum - M. Hezonja - A. Simons - N. Little,POR,1,58.3,140.0,60.0,120.0,50.0,20.0,40.0,50.0,0.0,0.0,0.0,20.0,20.0,40.0,20.0,0.0,20.0,0.0,20.0,40.0,20.0,-40.0
11,C. Anthony - M. Hezonja - A. Simons - W. Gabriel - N. Little,POR,1,57.5,150.0,50.0,100.0,50.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,-50.0
12,C. Anthony - T. Ariza - H. Whiteside - A. Simons - N. Little,POR,2,57.3,160.0,80.0,140.0,57.1,0.0,40.0,0.0,0.0,0.0,0.0,60.0,40.0,100.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,-20.0
