,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,T. Ariza - C. Joseph - H. Barnes - R. Holmes - Y. Ferrell,SAC,1,95.0,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,200.0,0.0,200.0
2,T. Ariza - C. Joseph - Y. Ferrell - C. Swanigan - W. Gabriel,SAC,1,80.0,200.0,100.0,200.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,-200.0
3,C. Joseph - K. Bazemore - B. Bogdanovic - B. Hield - H. Giles III,SAC,1,78.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-300.0
4,T. Ariza - N. Bjelica - D. Dedmon - B. Bogdanovic - Y. Ferrell,SAC,1,75.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,-100.0
5,H. Barnes - D. Dedmon - B. Bogdanovic - Y. Ferrell - W. Gabriel,SAC,1,73.3,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,-300.0
6,C. Joseph - B. Bogdanovic - D. Fox - H. Giles III - D. Jeffries,SAC,1,70.6,100.0,33.3,66.7,50.0,0.0,0.0,0.0,33.3,66.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,33.3,-100.0
7,C. Joseph - K. Bazemore - B. Bogdanovic - R. Holmes - D. Jeffries,SAC,1,70.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,-100.0
8,N. Bjelica - H. Barnes - K. Bazemore - B. Hield - Y. Ferrell,SAC,1,70.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.0
9,T. Ariza - C. Joseph - H. Barnes - M. Bagley III - J. James,SAC,1,67.8,66.7,33.3,133.3,25.0,0.0,66.7,0.0,0.0,0.0,0.0,33.3,33.3,66.7,0.0,0.0,0.0,33.3,0.0,66.7,0.0,-133.3
10,N. Bjelica - D. Dedmon - B. Bogdanovic - Y. Ferrell - W. Gabriel,SAC,1,66.7,100.0,40.0,100.0,40.0,20.0,80.0,25.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,60.0,-100.0
