,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,M. Ginobili - M. Bonner - J. Ayres - D. Green - C. Joseph,SAS,1,103.3,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,200.0
2,B. Diaw - M. Bonner - A. Daye - P. Mills - C. Joseph,SAS,1,96.7,200.0,100.0,200.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
3,T. Parker - B. Diaw - M. Belinelli - J. Ayres - K. Leonard,SAS,1,88.3,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0
4,B. Diaw - M. Bonner - D. Green - C. Joseph - A. Baynes,SAS,1,85.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,150.0,0.0,100.0,0.0,0.0,0.0,50.0,100.0,-100.0
5,B. Diaw - A. Daye - J. Ayres - K. Leonard - K. Anderson,SAS,1,80.8,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,0.0
6,B. Diaw - M. Bonner - M. Belinelli - J. Ayres - P. Mills,SAS,1,80.0,200.0,100.0,200.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-200.0
7,T. Duncan - M. Ginobili - M. Belinelli - C. Joseph - K. Anderson,SAS,1,80.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,-200.0
8,M. Ginobili - T. Parker - B. Diaw - C. Joseph - A. Baynes,SAS,1,77.3,140.0,60.0,200.0,30.0,0.0,0.0,0.0,20.0,20.0,100,100.0,40.0,140.0,40.0,0.0,0.0,0.0,0.0,20.0,0.0,100.0
9,T. Duncan - M. Ginobili - T. Parker - M. Belinelli - A. Baynes,SAS,1,76.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,-600.0
10,M. Ginobili - T. Parker - M. Bonner - T. Splitter - D. Green,SAS,1,75.0,300.0,100.0,100.0,100,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,300.0
11,T. Duncan - M. Belinelli - D. Green - C. Joseph - K. Anderson,SAS,1,74.9,100.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,50.0,66.7,33.3,16.7,0.0,33.3,16.7,0.0,16.7,-33.3
12,B. Diaw - M. Bonner - M. Belinelli - P. Mills - K. Leonard,SAS,1,73.3,200.0,100.0,200.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,200.0
