,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,J. O'Neal - C. Bosh - J. Kapono - R. Ukic - A. Bargnani,TOR,1,131.7,300.0,100.0,100.0,100,100.0,100.0,100,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,300.0
2,J. Graham - R. Ukic - J. Moon - A. Bargnani - N. Jawai,TOR,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
3,A. Parker - R. Ukic - J. Calderon - A. Bargnani - P. Mensah-Bonsu,TOR,1,92.7,300.0,100.0,100.0,100,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0
4,J. Voskuhl - C. Bosh - J. Kapono - J. Graham - R. Ukic,TOR,1,79.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
5,A. Parker - K. Humphries - J. Graham - J. Moon - A. Bargnani,TOR,1,75.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-100.0
6,S. Marion - C. Bosh - J. Kapono - P. O'Bryant - Q. Douby,TOR,1,73.3,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
7,J. Voskuhl - W. Solomon - J. Kapono - K. Humphries - J. Graham,TOR,1,72.5,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,100.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0
8,J. O'Neal - C. Bosh - J. Graham - J. Calderon - J. Moon,TOR,2,72.2,225.0,100.0,150.0,66.7,25.0,50.0,50.0,0.0,0.0,0.0,50.0,25.0,75.0,50.0,0.0,0.0,25.0,0.0,25.0,0.0,125.0
9,C. Bosh - K. Humphries - J. Graham - R. Ukic - J. Moon,TOR,1,70.0,100.0,50.0,200.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-150.0
10,A. Parker - S. Marion - M. Banks - J. Graham - J. Calderon,TOR,1,69.4,166.7,66.7,233.3,28.6,33.3,33.3,100,0.0,0.0,0.0,100.0,0.0,100.0,33.3,0.0,0.0,0.0,33.3,33.3,0.0,-33.3
11,J. Voskuhl - J. Kapono - J. Calderon - J. Moon - A. Bargnani,TOR,2,69.3,140.0,60.0,100.0,60.0,0.0,20.0,0.0,20.0,40.0,50.0,20.0,60.0,80.0,20.0,20.0,20.0,20.0,0.0,0.0,40.0,100.0
12,S. Marion - M. Banks - J. Kapono - R. Ukic - N. Jawai,TOR,1,69.2,100.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,S. Marion - M. Banks - J. Kapono - R. Ukic - A. Bargnani,TOR,1,67.9,100.0,50.0,125.0,40.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,25.0,75.0,-50.0
14,A. Parker - C. Bosh - J. Graham - P. O'Bryant - Q. Douby,TOR,1,67.5,0.0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,-150.0
15,J. O'Neal - A. Parker - K. Humphries - J. Graham - J. Calderon,TOR,1,66.7,100.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,-50.0
16,A. Parker - M. Banks - J. Graham - J. Calderon - A. Bargnani,TOR,1,65.5,85.7,42.9,100.0,42.9,0.0,42.9,0.0,0.0,0.0,0.0,0.0,28.6,28.6,14.3,0.0,14.3,0.0,0.0,14.3,14.3,-14.3
17,A. Parker - J. Voskuhl - C. Bosh - J. Kapono - R. Ukic,TOR,2,63.6,105.9,35.3,100.0,35.3,17.6,47.1,37.5,17.6,23.5,75.0,11.8,29.4,41.2,23.5,5.9,11.8,5.9,11.8,23.5,17.6,0.0
18,S. Marion - C. Bosh - J. Kapono - R. Ukic - P. O'Bryant,TOR,3,63.6,83.3,33.3,83.3,40.0,0.0,0.0,0.0,16.7,16.7,100,16.7,50.0,66.7,16.7,16.7,0.0,33.3,0.0,33.3,16.7,-50.0
19,A. Parker - S. Marion - J. Graham - A. Bargnani - Q. Douby,TOR,1,63.3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
20,S. Marion - C. Bosh - M. Banks - J. Graham - R. Ukic,TOR,1,62.7,160.0,80.0,140.0,57.1,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,60.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,-80.0
21,A. Parker - J. Kapono - J. Calderon - J. Moon - A. Bargnani,TOR,2,62.2,40.0,20.0,120.0,16.7,0.0,100.0,0.0,0.0,0.0,0.0,20.0,40.0,60.0,0.0,20.0,0.0,0.0,0.0,20.0,20.0,-100.0
22,J. Voskuhl - C. Bosh - J. Kapono - J. Calderon - J. Moon,TOR,1,62.2,133.3,33.3,66.7,50.0,0.0,0.0,0.0,66.7,66.7,100,0.0,16.7,16.7,16.7,0.0,16.7,0.0,0.0,66.7,33.3,33.3
23,A. Parker - J. Kapono - K. Humphries - R. Ukic - A. Bargnani,TOR,1,61.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
24,J. O'Neal - C. Bosh - J. Kapono - J. Calderon - H. Adams,TOR,1,61.4,100.0,33.3,83.3,40.0,0.0,0.0,0.0,33.3,33.3,100,16.7,0.0,16.7,33.3,16.7,0.0,0.0,16.7,0.0,50.0,-166.7
25,J. O'Neal - A. Parker - J. Voskuhl - J. Graham - R. Ukic,TOR,1,60.3,80.0,40.0,80.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,40.0,0.0,40.0,0.0,0.0,0.0,40.0,20.0,-80.0
26,A. Parker - W. Solomon - C. Bosh - J. Graham - J. Moon,TOR,3,60.1,133.3,50.0,66.7,75.0,16.7,16.7,100,16.7,33.3,50.0,16.7,16.7,33.3,50.0,33.3,16.7,16.7,0.0,0.0,50.0,50.0
27,A. Parker - S. Marion - J. Voskuhl - J. Kapono - J. Calderon,TOR,1,60.0,100.0,33.3,133.3,25.0,33.3,66.7,50.0,0.0,0.0,0.0,66.7,33.3,100.0,33.3,33.3,0.0,0.0,0.0,33.3,0.0,-133.3
28,J. O'Neal - C. Bosh - J. Calderon - J. Moon - A. Bargnani,TOR,1,60.0,66.7,33.3,100.0,33.3,0.0,33.3,0.0,0.0,0.0,0.0,33.3,0.0,33.3,0.0,0.0,33.3,0.0,0.0,0.0,33.3,0.0
29,J. O'Neal - J. Kapono - K. Humphries - R. Ukic - A. Bargnani,TOR,1,60.0,80.0,40.0,140.0,28.6,0.0,20.0,0.0,0.0,0.0,0.0,80.0,20.0,100.0,40.0,60.0,20.0,0.0,20.0,40.0,0.0,-60.0
30,J. Kapono - K. Humphries - J. Graham - R. Ukic - J. Moon,TOR,3,59.8,125.0,37.5,75.0,50.0,0.0,0.0,0.0,50.0,62.5,80.0,0.0,37.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,62.5,25.0
31,A. Parker - C. Bosh - J. Kapono - R. Ukic - J. Moon,TOR,2,59.4,111.1,33.3,66.7,50.0,0.0,0.0,0.0,44.4,55.6,80.0,0.0,44.4,44.4,11.1,11.1,22.2,0.0,0.0,22.2,44.4,55.6
32,A. Parker - J. Voskuhl - C. Bosh - R. Ukic - J. Moon,TOR,2,59.4,137.5,62.5,87.5,71.4,0.0,0.0,0.0,12.5,25.0,50.0,0.0,62.5,62.5,25.0,0.0,0.0,12.5,0.0,0.0,12.5,75.0
33,A. Parker - J. Kapono - K. Humphries - J. Calderon - J. Moon,TOR,1,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
34,C. Bosh - J. Kapono - K. Humphries - J. Calderon - J. Moon,TOR,2,59.0,100.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,25.0,0.0,50.0,25.0,0.0
35,C. Bosh - J. Graham - J. Calderon - A. Bargnani - Q. Douby,TOR,1,58.9,33.3,0.0,100.0,0.0,0.0,66.7,0.0,33.3,66.7,50.0,33.3,33.3,66.7,0.0,0.0,33.3,0.0,0.0,33.3,66.7,-66.7
36,A. Parker - J. Voskuhl - C. Bosh - J. Graham - R. Ukic,TOR,2,58.6,57.1,28.6,85.7,33.3,0.0,0.0,0.0,0.0,0.0,0.0,14.3,14.3,28.6,28.6,28.6,14.3,0.0,0.0,28.6,14.3,-85.7
37,J. O'Neal - A. Parker - R. Ukic - J. Moon - A. Bargnani,TOR,3,58.1,75.0,25.0,75.0,33.3,0.0,0.0,0.0,25.0,25.0,100,6.3,50.0,56.3,12.5,12.5,0.0,31.3,6.3,6.3,37.5,37.5
38,J. O'Neal - A. Parker - J. Kapono - J. Graham - J. Calderon,TOR,2,58.0,62.5,25.0,93.8,26.7,12.5,37.5,33.3,0.0,0.0,0.0,0.0,56.3,56.3,18.8,12.5,6.3,0.0,6.3,6.3,12.5,-18.8
39,J. O'Neal - A. Parker - J. Kapono - J. Graham - J. Moon,TOR,2,57.9,106.7,40.0,93.3,42.9,20.0,26.7,75.0,6.7,13.3,50.0,20.0,26.7,46.7,33.3,20.0,6.7,0.0,13.3,20.0,13.3,13.3
40,S. Marion - C. Bosh - J. Graham - J. Calderon - Q. Douby,TOR,1,57.7,133.3,66.7,166.7,40.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,33.3,100.0,33.3,0.0,0.0,0.0,0.0,33.3,0.0,66.7
41,A. Parker - J. Voskuhl - W. Solomon - K. Humphries - J. Moon,TOR,1,57.5,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,-200.0
42,J. O'Neal - W. Solomon - J. Graham - J. Moon - A. Bargnani,TOR,1,57.5,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,S. Marion - J. Voskuhl - J. Kapono - J. Graham - J. Calderon,TOR,2,57.5,100.0,37.5,112.5,33.3,12.5,12.5,100,12.5,12.5,100,25.0,12.5,37.5,12.5,12.5,12.5,0.0,37.5,12.5,0.0,-75.0
44,A. Parker - W. Solomon - C. Bosh - K. Humphries - J. Moon,TOR,3,57.2,190.0,80.0,80.0,100,0.0,0.0,0.0,30.0,30.0,100,0.0,20.0,20.0,60.0,10.0,20.0,10.0,0.0,0.0,30.0,60.0
45,J. O'Neal - J. Kapono - J. Graham - J. Calderon - J. Moon,TOR,4,57.2,127.8,61.1,88.9,68.8,5.6,16.7,33.3,0.0,0.0,0.0,5.6,38.9,44.4,33.3,11.1,0.0,0.0,0.0,22.2,5.6,11.1
46,J. Kapono - K. Humphries - J. Graham - J. Calderon - J. Moon,TOR,1,57.1,225.0,100.0,150.0,66.7,0.0,0.0,0.0,25.0,25.0,100,50.0,50.0,100.0,50.0,0.0,0.0,0.0,25.0,25.0,25.0,175.0
47,A. Parker - J. Voskuhl - W. Solomon - J. Graham - A. Bargnani,TOR,2,56.8,150.0,60.0,90.0,66.7,0.0,10.0,0.0,30.0,30.0,100,0.0,40.0,40.0,30.0,0.0,10.0,10.0,0.0,60.0,20.0,-20.0
48,A. Parker - C. Bosh - J. Graham - Q. Douby - P. Mensah-Bonsu,TOR,1,56.7,50.0,25.0,125.0,20.0,0.0,25.0,0.0,0.0,0.0,0.0,75.0,0.0,75.0,0.0,50.0,0.0,0.0,0.0,25.0,25.0,-100.0
