,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,E. Watson - R. Foye - P. Millsap - D. Carroll - E. Kanter,UTA,1,111.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
2,E. Watson - A. Jefferson - R. Foye - P. Millsap - A. Burks,UTA,1,90.0,200.0,100.0,200.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,200.0
3,E. Watson - M. Williams - P. Millsap - D. Favors - G. Hayward,UTA,1,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.0
4,E. Watson - M. Williams - P. Millsap - E. Kanter - A. Burks,UTA,1,82.2,133.3,33.3,100.0,33.3,0.0,0.0,0.0,66.7,66.7,100,33.3,33.3,66.7,33.3,0.0,33.3,0.0,33.3,66.7,33.3,66.7
5,E. Watson - M. Williams - P. Millsap - G. Hayward - E. Kanter,UTA,1,81.7,150.0,50.0,250.0,20.0,0.0,100.0,0.0,50.0,50.0,100,150.0,0.0,150.0,0.0,0.0,0.0,0.0,50.0,50.0,100.0,-50.0
6,J. Tinsley - D. Carroll - D. Favors - J. Evans - K. Murphy,UTA,1,73.3,0.0,0.0,150.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,-100.0
7,A. Jefferson - R. Foye - D. Carroll - G. Hayward - E. Kanter,UTA,1,71.2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,J. Tinsley - A. Jefferson - D. Carroll - D. Favors - G. Hayward,UTA,7,69.0,125.0,42.9,92.9,46.2,10.7,17.9,60.0,28.6,32.1,88.9,7.1,28.6,35.7,35.7,7.1,7.1,17.9,7.1,39.3,14.3,3.6
9,J. Tinsley - A. Jefferson - R. Foye - D. Carroll - E. Kanter,UTA,1,68.3,66.7,33.3,133.3,25.0,0.0,100.0,0.0,0.0,0.0,0.0,33.3,0.0,33.3,0.0,0.0,0.0,0.0,0.0,33.3,0.0,-66.7
10,J. Tinsley - M. Williams - P. Millsap - E. Kanter - A. Burks,UTA,1,68.3,0.0,0.0,150.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,100.0,50.0,150.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0
11,J. Tinsley - M. Williams - R. Foye - P. Millsap - E. Kanter,UTA,2,66.7,100.0,50.0,150.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0
12,J. Tinsley - M. Williams - P. Millsap - G. Hayward - E. Kanter,UTA,1,66.1,100.0,33.3,66.7,50.0,33.3,66.7,50.0,0.0,0.0,0.0,0.0,33.3,33.3,33.3,33.3,0.0,0.0,0.0,33.3,0.0,-33.3
13,M. Williams - R. Foye - P. Millsap - D. Favors - G. Hayward,UTA,2,64.6,66.7,33.3,100.0,33.3,0.0,33.3,0.0,0.0,0.0,0.0,33.3,33.3,66.7,16.7,16.7,0.0,0.0,16.7,33.3,16.7,-66.7
14,J. Tinsley - M. Williams - P. Millsap - D. Carroll - D. Favors,UTA,2,64.3,94.1,41.2,117.6,35.0,5.9,29.4,20.0,5.9,11.8,50.0,29.4,41.2,70.6,23.5,5.9,5.9,5.9,5.9,23.5,17.6,-5.9
15,E. Watson - A. Jefferson - M. Williams - P. Millsap - A. Burks,UTA,4,63.7,144.4,33.3,66.7,50.0,22.2,33.3,66.7,55.6,66.7,83.3,22.2,33.3,55.6,33.3,22.2,0.0,0.0,0.0,33.3,33.3,33.3
16,J. Tinsley - R. Foye - P. Millsap - D. Carroll - E. Kanter,UTA,2,63.3,133.3,66.7,66.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,33.3,0.0,33.3,33.3,0.0,0.0,0.0,33.3,66.7
17,J. Tinsley - R. Foye - P. Millsap - G. Hayward - J. Evans,UTA,1,63.3,266.7,66.7,133.3,50.0,66.7,100.0,66.7,66.7,66.7,100,66.7,0.0,66.7,66.7,0.0,0.0,0.0,0.0,66.7,33.3,166.7
18,M. Williams - R. Foye - D. Favors - E. Kanter - A. Burks,UTA,2,63.2,50.0,25.0,100.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,75.0,25.0,-50.0
19,J. Tinsley - A. Jefferson - D. Favors - G. Hayward - A. Burks,UTA,5,62.6,100.0,42.9,114.3,37.5,0.0,7.1,0.0,14.3,14.3,100,21.4,57.1,78.6,28.6,0.0,7.1,21.4,7.1,14.3,7.1,50.0
20,A. Jefferson - D. Carroll - G. Hayward - E. Kanter - A. Burks,UTA,1,61.7,133.3,55.6,77.8,71.4,0.0,0.0,0.0,22.2,22.2,100,0.0,11.1,11.1,11.1,0.0,0.0,0.0,0.0,44.4,22.2,-66.7
21,J. Tinsley - A. Jefferson - P. Millsap - D. Carroll - D. Favors,UTA,2,61.7,120.0,60.0,80.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,60.0,80.0,20.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0
22,J. Tinsley - A. Jefferson - R. Foye - P. Millsap - D. Favors,UTA,2,61.4,128.6,42.9,71.4,60.0,0.0,0.0,0.0,42.9,71.4,60.0,14.3,14.3,28.6,0.0,14.3,0.0,28.6,28.6,85.7,28.6,-57.1
