,Lineups,Team,GP,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,P. Pierce - D. Gooden - M. Gortat - R. Sessions - O. Porter Jr.,WAS,1,131.7,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-100.0
2,P. Pierce - R. Butler - G. Temple - J. Wall - B. Beal,WAS,3,93.2,300.0,100.0,200.0,50.0,100.0,100.0,100,0.0,0.0,0.0,100.0,100.0,200.0,100.0,0.0,0.0,100.0,100.0,200.0,0.0,-500.0
3,P. Pierce - D. Blair - G. Temple - J. Wall - K. Seraphin,WAS,1,84.8,300.0,100.0,100.0,100,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0
4,A. Miller - R. Butler - K. Humphries - M. Gortat - G. Temple,WAS,1,78.3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-100.0
5,A. Miller - K. Humphries - D. Blair - B. Beal - O. Porter Jr.,WAS,1,72.2,133.3,66.7,100.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,33.3,33.3,66.7,33.3,33.3,0.0,0.0,0.0,100.0,0.0,-66.7
6,A. Miller - D. Gooden - M. Gortat - G. Rice - O. Porter Jr.,WAS,1,71.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-100.0
7,Nene - M. Webster - M. Gortat - R. Sessions - B. Beal,WAS,1,71.7,200.0,100.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,-100.0
8,R. Butler - K. Humphries - M. Gortat - G. Temple - J. Wall,WAS,3,70.3,120.0,40.0,80.0,50.0,0.0,0.0,0.0,40.0,40.0,100,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,20.0,-40.0
9,M. Gortat - R. Sessions - J. Wall - B. Beal - O. Porter Jr.,WAS,1,68.3,200.0,100.0,150.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
10,M. Webster - M. Gortat - J. Wall - K. Seraphin - O. Porter Jr.,WAS,1,68.3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-300.0
11,M. Gortat - R. Sessions - D. Blair - B. Beal - O. Porter Jr.,WAS,1,66.2,57.1,14.3,85.7,16.7,0.0,28.6,0.0,28.6,42.9,66.7,14.3,42.9,57.1,14.3,14.3,14.3,0.0,0.0,42.9,57.1,-28.6
12,D. Gooden - W. Bynum - K. Seraphin - B. Beal - O. Porter Jr.,WAS,1,66.1,16.7,0.0,83.3,0.0,0.0,50.0,0.0,16.7,33.3,50.0,16.7,0.0,16.7,0.0,33.3,0.0,16.7,0.0,66.7,33.3,-233.3
